,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
145,14.88,10.066,6.6,5.91847,8.39266670020773,21.0,1.8148928228592371,2,1,1.0
216,47.84,8.083,51.8,5.9019,8.39266670020773,21.0,-1.0,0,1,1.0
243,26.02,19.698,135.3,5.66986,8.602716805550989,21.0,-1.0,0,1,1.0
250,41.58,11.136,51.1,3.81008,7.050071033204384,21.0,2.5022073084232805,2,1,1.0
800,35.15,10.0,180.0,5.52989,16.25136000184083,22.0,0.0,2,1,0.7
821,42.81,10.263,107.0,5.48743,16.25136000184083,22.0,0.0,2,1,0.7
839,21.18,8.083,150.0,5.91578,9.962957496386142,22.0,15.888713920361484,2,1,1.0
857,39.82,23.065,4.3,5.13636,20.911435160889937,25.0,0.0,,1,0.2
858,43.12,12.055,54.5,5.86834,12.545886892215847,22.0,15.876813734949781,2,1,0.8
868,17.38,13.614,42.7,5.85986,9.962957496386142,22.0,-1.0,0,1,1.0
897,31.24,49.003,0.7,5.89367,12.545886892215847,22.0,-1.0,0,1,0.9
928,57.29,14.189,129.4,5.90594,19.02828612093457,25.0,0.0,2,1,0.5
953,15.73,11.719,140.2,5.85021,18.057683982471296,25.0,0.0,,1,0.8
957,45.7,6.429,98.9,5.91327,17.943671173306136,25.0,0.0,2,1,0.8
963,51.04,11.136,111.0,5.88364,16.817558491713047,25.0,-1.0,0,1,0.9
992,17.32,20.133,113.4,3.70909,18.057683982471296,25.0,3.405147060908728,1,1,0.8
1089,11.9,8.718,143.4,5.64708,15.471979130268364,25.0,0.0,,1,1.0
1090,55.67,18.33,130.9,5.48885,18.336222675125555,25.0,-1.0,0,1,0.8
1091,43.72,8.083,30.0,5.61268,18.336222675125555,25.0,0.0,,1,0.8
1129,38.85,17.088,5.8,5.84849,23.013917810068172,25.0,0.0,,1,0.2
1349,51.55,17.01,160.2,5.81986,13.633679618553565,12.0,-1.0,0,1,0.9
1443,47.1,20.133,6.6,5.43972,12.305393057903986,23.0,-1.0,0,1,0.7
1445,17.9,8.083,90.0,5.55371,12.323810981675635,12.0,-1.0,0,1,1.0
1461,47.7,15.011,177.8,5.83173,10.393808986367969,23.0,5.838884866762505,2,1,0.9
1545,39.41,17.01,100.2,5.84132,7.383235834742422,23.0,1.5779121482344707,2,1,1.0
1554,59.28,29.28,172.1,4.35498,14.100142066408745,12.0,-1.0,0,1,1.0
1567,46.61,16.166,171.8,5.81969,11.220708609667494,23.0,2.0565519521244195,1,1,0.8
1667,20.21,15.1,173.4,5.29792,16.571717737133294,23.0,-1.0,0,1,0.7
1761,27.71,15.875,19.1,5.85418,26.66134079502075,16.0,-1.0,0,1,0.7
1835,32.56,6.928,150.0,5.09311,16.53515625,16.0,-1.0,0,1,0.9
1981,11.92,6.429,141.0,5.88002,12.848808894965874,16.0,5.684341886080802e-14,2,1,1.0
1987,48.79,23.861,82.8,5.86913,19.8608924004518,16.0,4.582862941503293e-13,2,1,0.8
2026,52.15,15.1,6.6,4.62491,20.11482870200221,16.0,-1.0,0,1,0.8
2133,8.62,7.572,22.4,4.76365,11.0234375,2.0,9.116640466106965,2,1,1.0
2153,18.24,7.211,166.1,5.91288,12.880427404182743,2.0,-1.0,0,1,0.8
2167,59.55,10.263,107.0,5.74953,11.852689256916978,2.0,7.100981874297709,2,1,0.9
2246,2.11,7.024,115.3,5.3406,12.32381098167559,2.0,-1.0,0,1,0.9
2254,48.43,22.301,100.3,5.22655,15.350024373835037,2.0,-1.0,0,1,0.7
2375,37.52,24.028,122.8,3.93276,1.100198412698433,1.0,-1.0,0,1,1.0
2444,37.52,14.0,158.2,5.52769,2.463956882731575,1.0,-1.0,0,1,1.0
2478,39.44,13.013,177.5,5.8815,9.98191052572564,10.0,10.933183433212308,2,1,0.9
2502,50.69,12.49,163.9,1.99599,10.154734911261182,10.0,10.079749683870324,1,1,0.9
2574,58.68,27.055,3.7,5.6854,16.52357864832132,19.0,-1.0,0,1,0.7
2594,2.24,9.866,95.8,5.72602,8.801587301587347,10.0,8.74300351723761,2,1,1.0
2641,49.91,67.557,172.6,5.85134,14.814579168059431,10.0,-1.0,0,1,0.7
2649,40.8,10.583,19.1,5.7835,12.566960644825382,10.0,-1.0,0,1,0.7
2673,22.45,18.148,52.7,5.86485,10.154734911261267,19.0,-1.0,0,1,1.0
2727,15.81,15.535,104.9,5.83055,16.02149029154998,19.0,1.5565902889892678,2,1,0.7
2764,19.19,8.327,76.1,4.80944,12.10218253968253,19.0,-1.0,0,1,0.9
2791,20.03,9.866,84.2,5.57651,14.679926164080978,19.0,-1.0,0,1,0.8
2797,34.32,34.176,174.2,5.71911,13.610265188462261,19.0,7.3219226242597,2,1,0.8
3162,48.21,11.547,90.0,4.48442,6.229732951539015,4.0,-1.0,0,1,1.0
3325,59.08,8.327,16.1,4.2775,7.938406867474891,11.0,5.298871858654778,2,1,0.8
3332,45.33,16.166,171.8,4.63482,7.787166189423769,17.0,12.595797783873213,1,1,0.9
3333,47.55,18.583,156.2,3.30434,14.966842164766016,17.0,0.0,3,1,0.3
3378,57.36,20.232,87.2,5.91918,7.938406867474891,11.0,0.0,2,1,0.8
3379,13.31,7.024,175.3,5.69147,7.383235834742422,11.0,0.0,2,1,1.0
3380,37.27,13.317,154.3,5.78728,12.301360461203233,17.0,6.368155896507941,1,1,0.7
3394,8.76,8.0,60.0,5.87437,7.391870648194801,17.0,-1.0,0,1,1.0
3402,47.12,22.539,152.5,5.24324,7.383235834742422,11.0,2.996559491269007,2,1,1.0
3403,59.77,16.773,33.4,5.86981,7.383235834742422,11.0,-1.0,0,1,1.0
3413,56.6,14.189,110.6,2.99166,14.966842164766016,17.0,0.0,3,1,0.3
3414,32.96,12.22,10.9,5.83758,12.837035385333987,17.0,0.0,3,1,0.7
3433,25.72,8.0,180.0,5.79126,12.301360461203233,17.0,0.0,2,1,0.7
3451,6.7,10.0,180.0,3.18703,4.409375000000068,9.0,-1.0,0,1,1.0
3467,31.47,7.024,64.7,5.73415,8.602716805551022,17.0,0.0,2,1,0.8
3499,32.98,8.0,120.0,5.89132,12.566960644825368,17.0,8.519265906558383,1,1,0.7
3510,27.58,20.033,56.7,4.08194,18.689198854616965,17.0,7.476871584482066,1,1,0.2
