,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
192,22.51,15.011,57.8,5.89525,7.815602912634194,20.0,-1.0,0.0,1.0,0.9
202,14.95,10.0,60.0,5.62749,1.853827078694552,20.0,-1.0,0.0,1.0,1.0
208,10.37,9.019,56.3,5.22771,1.17196927056303,20.0,-1.0,0.0,1.0,1.0
209,7.75,31.048,123.2,5.6062,2.987139595449331,16.0,4.862136831001637,2.0,1.0,1.0
212,29.86,17.474,13.4,5.90599,5.796875,16.0,0.7617255633795444,2.0,1.0,0.9
216,43.38,6.429,158.9,5.87762,5.244150880856271,3.0,8.178726110356974,2.0,1.0,1.0
285,25.93,18.148,127.3,4.61811,8.28544382629474,3.0,3.431970643425847,2.0,1.0,1.0
287,35.04,13.013,117.5,5.91232,5.855892820155098,16.0,0.19704945050438635,2.0,1.0,0.9
301,50.44,27.154,32.1,3.20668,5.044179359847403,16.0,4.566389271306806,2.0,1.0,0.9
537,38.8,10.583,139.1,5.82969,14.082511127950294,5.0,-1.0,0.0,1.0,1.0
564,32.59,5.291,139.1,3.92282,13.594261401239063,5.0,-1.0,0.0,1.0,1.0
574,40.97,6.0,120.0,5.83764,13.594261401239063,5.0,-1.0,0.0,1.0,1.0
585,53.59,6.429,98.9,4.81967,15.132538079542211,5.0,5.859285502108464e-14,2.0,1.0,0.7
586,28.0,13.614,17.3,5.74989,15.132538079542211,5.0,1.4210854715202004e-14,2.0,1.0,0.7
1797,57.24,18.903,162.2,4.63088,2.343938541126076,14.0,-1.0,0.0,1.0,1.0
1811,27.01,31.39,17.1,5.32396,3.418965677501011,17.0,1.2321020341853992,2.0,1.0,1.0
1909,54.37,12.0,60.0,3.76608,3.414729448363246,17.0,2.49585477424522,2.0,1.0,1.0
1915,48.99,6.429,81.1,5.91393,3.704529669482516,17.0,2.6706806909254754,2.0,1.0,0.8
1937,50.61,16.773,26.6,5.43852,3.317157712304947,17.0,1.4830616629556583,2.0,1.0,1.0
2284,36.72,12.166,25.3,4.14171,4.140625,11.0,-1.0,0.0,1.0,0.9
2305,23.67,8.327,76.1,5.27853,2.487868284228853,11.0,1.5331353303009712,2.0,1.0,1.0
2326,36.73,22.271,171.1,5.77018,3.707654157389136,11.0,1.2842277557193222,2.0,1.0,1.0
2457,31.69,13.115,7.6,5.80103,2.484375,15.0,-1.0,0.0,1.0,1.0
2476,19.0,6.429,98.9,5.8537,3.515907811689074,15.0,-1.0,0.0,1.0,0.9
2489,31.69,11.136,8.9,5.82574,3.515907811689074,15.0,-1.0,0.0,1.0,0.9
2781,17.98,5.292,19.1,5.61555,3.515907811689074,10.0,-1.0,0.0,1.0,1.0
2804,50.59,12.49,163.9,5.91207,9.985870448306922,4.0,-1.0,0.0,1.0,1.0
2812,60.47,18.037,56.3,5.86861,7.815602912634189,13.0,-1.0,0.0,1.0,1.0
2823,57.36,31.432,170.5,5.878,1.171969270563078,8.0,-1.0,0.0,1.0,1.0
2905,50.59,7.211,166.1,5.91663,10.812522023022304,4.0,-1.0,0.0,1.0,1.0
