,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
6213,51.16,19.425,168.0,5.87266,12.948242752812684,0.0,-1.0,0.0,1.0,1.0
5743,14.41,8.0,120.0,5.27591,8.0283367550876,1.0,2.676112251695867,2.0,1.0,1.0
5497,47.75,9.866,95.8,5.5779,4.31957756953895,2.0,-1.0,0.0,1.0,1.0
4958,8.8,39.107,46.3,5.2986,9.660119492525963,4.0,0.13027631582339627,2.0,1.0,1.0
3281,22.39,14.422,133.9,5.83657,12.731914910825125,5.0,-1.0,0.0,1.0,1.0
3202,7.68,10.066,126.6,5.75582,9.354943570464066,6.0,-1.0,0.0,1.0,1.0
1280,55.68,9.238,150.0,5.89111,5.9814453125,7.0,-1.0,0.0,1.0,1.0
745,10.07,51.316,47.0,5.85774,15.60718418936866,8.0,-1.0,0.0,1.0,1.0
3332,57.93,35.233,164.8,5.16743,9.590484282073135,9.0,-1.0,0.0,1.0,1.0
1684,39.74,8.083,150.0,4.50322,13.641786185941609,10.0,0.7669836231832208,2.0,1.0,1.0
6404,49.89,16.0,120.0,5.84423,6.100396276134561,12.0,0.0,2.0,1.0,1.0
1339,45.39,21.939,30.0,5.7444,13.548736845637936,13.0,5.307759222416291,2.0,1.0,1.0
1482,50.65,8.327,163.9,5.31585,5.358990322383637,14.0,-1.0,0.0,1.0,1.0
5804,37.47,7.211,166.1,5.87564,8.467960528523745,15.0,10.329859743671426,1.0,1.0,1.0
1275,39.59,25.325,9.2,5.6516,6.774368422818948,16.0,-1.0,0.0,1.0,1.0
4004,38.33,18.903,162.2,5.89038,5.358990322383586,17.0,5.21149085817086,2.0,1.0,1.0
6341,31.68,31.177,150.0,5.85836,10.70444900678357,18.0,-1.0,0.0,1.0,1.0
6275,51.96,14.0,158.2,5.81309,4.316080917604312,21.0,1.3049557194416508,2.0,1.0,1.0
2802,12.93,8.0,60.0,5.80178,5.358990322383586,22.0,-1.0,0.0,1.0,1.0
6352,53.26,10.0,180.0,5.77619,4.933038316936355,28.0,-1.0,0.0,1.0,1.0
1988,40.06,7.572,37.6,5.1644,18.756466128342655,29.0,-1.0,0.0,1.0,1.0
4919,13.5,12.055,174.5,2.07031,15.621108128588205,30.0,21.565952202785645,2.0,1.0,1.0
1401,49.78,13.614,17.3,3.57839,10.83313693742841,31.0,-1.0,0.0,1.0,1.0
3347,40.56,24.249,171.8,5.56199,6.45392110041922,33.0,-1.0,0.0,1.0,1.0
