,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
1467,37.95,16.166,68.2,5.58476,5.16293567177798,0.0,5.7326499486398035,1.0,1,1.0
992,41.86,14.742,138.3,5.91732,10.260150444117771,1.0,-1.0,0.0,1,1.0
550,27.89,15.535,164.9,5.86771,8.570400171743556,2.0,2.6901041666666856,2.0,1,1.0
213,19.01,9.165,169.1,4.73613,5.160354432928297,4.0,0.7975449610649207,1.0,1,1.0
1546,30.13,12.858,21.1,5.39026,7.439664590144646,5.0,-1.0,0.0,1,1.0
1770,34.33,17.088,5.8,4.22327,5.411268599318434,6.0,7.132891590160016,2.0,1,1.0
243,15.84,6.928,90.0,5.32679,4.842187500000001,7.0,-1.0,0.0,1,1.0
1049,58.55,6.0,180.0,5.8944,12.185294394238666,8.0,-1.0,0.0,1,1.0
1706,52.4,11.719,80.2,5.76162,7.933235382550661,9.0,6.14124440823101,2.0,1,1.0
257,42.22,23.861,164.6,3.35084,5.810420233587417,10.0,3.3595863285111123,2.0,1,1.0
648,12.35,6.11,130.9,4.81021,12.344124988270368,11.0,-1.0,0.0,1,1.0
