Void_id,misorientation,Length,Trace,Sigma,Distance_Center,Pred_lenght,Junction,Void,Void_Parameter
0.0,44.21666666666667,35.56066666666666,159.73333333333332,5.666223333333332,4.079097279946125,5.912645211599204,1.3333333333333333,1.0,0.9666666666666667
1.0,35.46,12.377333333333333,161.3,5.7247666666666674,4.78722949492547,1.80693203275937,1.3333333333333333,1.0,0.9333333333333332
3.0,18.25,19.009,178.3,5.76765,11.030284478288603,-1.0,0.0,1.0,1.0
4.0,40.083999999999996,16.3204,104.84,5.707926,21.627802106472455,7.0585574392812145,1.6,1.0,0.9
5.0,43.534444444444446,12.730222222222222,72.19999999999999,5.462003333333333,21.935487855431383,3.9009189645476123,0.6666666666666666,1.0,0.7000000000000002
6.0,37.8525,14.272749999999998,36.05,4.3575824999999995,15.022944524770457,-1.0,0.0,1.0,0.95
7.0,23.0075,14.243749999999999,109.375,4.8922025,13.172139356898905,-1.0,0.0,1.0,0.9249999999999999
11.0,41.35333333333333,27.482333333333333,89.5,5.807776666666666,6.338940716538835,1.225655385914933,1.3333333333333333,1.0,0.9666666666666667
12.0,37.705,18.495500000000003,125.85000000000001,4.12179,15.189156104159949,4.8854018581177865,0.6666666666666666,1.0,0.8166666666666665
13.0,32.410000000000004,21.023,129.6,5.628263333333333,9.560852407282589,-1.0,0.0,1.0,0.9666666666666667
14.0,43.39,16.968,65.28571428571429,5.137860000000001,26.152464464025634,6.59942710199116,1.1428571428571428,1.0,0.7857142857142857
15.0,42.93666666666667,18.085,157.13333333333333,4.783053333333334,6.1663074171861245,-1.0,0.0,1.0,0.9666666666666667
16.0,45.620000000000005,14.153666666666666,108.56666666666666,5.8125,13.439795614599,6.760127631671206,1.3333333333333333,1.0,0.9333333333333332
17.0,41.5875,23.59825,65.75,5.842705,5.2532284931339515,0.5847101713452709,1.0,1.0,0.95
18.0,48.309999999999995,11.483,63.92,5.3050939999999995,13.101685780593897,2.2249862679661865,1.6,1.0,0.9
