Void_id,misorientation,Length,Trace,Sigma,Distance_Center,Pred_lenght,Junction,Void,Void_Parameter
3.0,34.655,12.288499999999999,143.1,5.247865,6.7647973535755055,5.805348376891411,2.0,1.0,1.0
4.0,50.59,9.8505,165.0,5.91435,10.399196235664613,-1.0,0.0,1.0,1.0
5.0,38.79,8.3834,102.88,5.231942000000001,14.30722201790257,-0.5999999999999854,0.8,1.0,0.8800000000000001
8.0,57.36,31.432,170.5,5.878,1.171969270563078,-1.0,0.0,1.0,1.0
10.0,17.98,5.292,19.1,5.61555,3.515907811689074,-1.0,0.0,1.0,1.0
11.0,32.373333333333335,14.254666666666667,90.83333333333333,5.0634733333333335,3.4453824805393296,0.6057876953400978,1.3333333333333333,1.0,0.9666666666666667
13.0,60.47,18.037,56.3,5.86861,7.815602912634189,-1.0,0.0,1.0,1.0
14.0,57.24,18.903,162.2,4.63088,2.343938541126076,-1.0,0.0,1.0,1.0
15.0,27.459999999999997,10.226666666666667,38.46666666666667,5.8268233333333335,3.172063541126049,-1.0,0.0,1.0,0.9333333333333332
16.0,30.7725,22.17225,71.55,5.1577975,4.921021693862958,2.5968252790480935,2.0,1.0,0.9249999999999999
17.0,45.245000000000005,16.648,46.199999999999996,5.1106225,3.46384562691293,1.9704247905779384,2.0,1.0,0.95
20.0,15.943333333333333,11.343333333333334,58.03333333333333,5.583483333333334,3.6137997539639257,-1.0,0.0,1.0,0.9666666666666667
