Void_id,misorientation,Length,Trace,Sigma,Distance_Center,Pred_lenght,Junction,Void,Void_Parameter
0.0,47.638,28.448200000000003,142.97999999999996,5.241757999999999,8.737608577293912,1.6065637090147313,0.8,1.0,0.9
1.0,55.4425,22.22025,118.475,5.1866575,6.7119639421975865,6.156161189583487,1.25,1.0,0.9249999999999999
2.0,41.44,32.145,141.0,5.61643,2.517391304347825,-1.0,0.0,1.0,1.0
4.0,16.4225,9.93225,141.42499999999998,4.8362225,9.914749039294344,2.4935084901849898,1.0,1.0,0.75
6.0,32.98,13.640200000000002,143.56,4.9243380000000005,10.47126045571058,3.567806158220275,0.8,1.0,0.8200000000000001
10.0,18.311666666666664,8.449,61.65,5.650108333333333,9.3253854880129,2.813476193592171,1.5,1.0,0.8000000000000002
11.0,29.531428571428567,16.439714285714285,89.37142857142858,5.4357500000000005,13.243325064726177,0.8858725871489197,1.2857142857142858,1.0,0.7571428571428571
12.0,39.42666666666667,10.453000000000001,80.76666666666667,4.9599166666666665,5.538246738787187,4.703898280734497,1.0,1.0,0.9666666666666667
13.0,31.96,11.015,3.0,5.80932,2.513671875,-1.0,0.0,1.0,1.0
14.0,32.635000000000005,23.3705,154.39999999999998,4.92074,10.165309805371345,-1.0,0.0,1.0,1.0
15.0,26.297500000000003,10.40575,103.625,5.63477,12.592633432401618,5.402259286088136,1.0,1.0,0.975
