Void_id,misorientation,Length,Trace,Sigma,Distance_Center,Pred_lenght,Junction,Void,Void_Parameter
0.0,41.52333333333333,17.317,88.96666666666665,4.8027500000000005,5.124917106121883,5.3241974402716545,1.3333333333333333,1,0.9666666666666667
1.0,46.057500000000005,11.873,141.75,5.669332499999999,7.749287322524194,-0.2499999999999929,0.0,1,0.8999999999999999
3.0,50.05,5.033,53.4,5.78874,6.65696621694663,2.1879183521602,1.0,1,1.0
4.0,47.43666666666667,19.20566666666667,84.45,5.220488333333334,16.439284542212693,0.5218210643155006,1.6666666666666667,1,0.9
5.0,32.931666666666665,20.780666666666665,71.08333333333333,5.759193333333333,3.9881499705800576,-0.2533246363304338,0.8333333333333334,1,0.8166666666666665
6.0,39.39,10.327,129.4,5.44911,4.5099161121843965,3.4508889197687815,1.0,1,0.9333333333333332
7.0,35.54,21.6025,23.1,5.80793,7.337597028862173,-1.0,0.0,1,1.0
8.0,44.07,8.718,156.6,5.68497,3.031482239924755,-1.0,0.0,1,1.0
9.0,50.29,9.018,56.3,3.65893,1.35694444444448,-1.0,0.0,1,1.0
10.0,23.463333333333335,8.424000000000001,91.55,5.702028333333334,3.0090186936176626,0.7791879503420446,0.5,1,0.7833333333333333
11.0,12.08,25.7135,93.75,4.799815000000001,2.2081408835067715,2.0832676005651205,2.0,1,1.0
12.0,31.830000000000002,16.403333333333332,94.92222222222223,5.350208888888889,10.681158167800895,1.6705878945642836,2.4444444444444446,1,0.6555555555555556
