,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
1344,44.76,19.079,153.0,3.96581,7.306571082878563,0.0,-1.0,0.0,1.0,1.0
1612,40.51,11.135,51.1,2.88541,1.700490998363307,1.0,-1.0,0.0,1.0,1.0
2916,56.54,15.144,82.4,5.9128,9.153582838347768,2.0,0.30102510488611633,2.0,1.0,1.0
577,54.34,10.392,30.0,4.01303,8.544604262693086,3.0,-1.0,0.0,1.0,1.0
1865,27.62,43.863,168.6,5.86339,5.375789355275105,4.0,-1.0,0.0,1.0,1.0
2780,29.91,27.301,171.5,5.8614,6.801963993453342,6.0,-1.0,0.0,1.0,1.0
1828,12.16,9.019,63.7,5.70286,3.062734260846748,7.0,-1.0,0.0,1.0,1.0
1637,21.14,30.199,173.4,4.42409,0.0,8.0,1.6632018364078276,2.0,1.0,1.0
2700,42.94,9.165,169.1,5.80049,4.946643774723402,9.0,2.023275133835586,2.0,1.0,1.0
1799,26.78,8.718,36.6,5.83702,8.352657607812521,10.0,2.204950531573284,2.0,1.0,1.0
970,55.63,34.699,26.7,5.86817,10.751578710550158,11.0,6.861292380487339,1.0,1.0,1.0
1134,37.57,11.719,159.8,3.83998,6.125468521693495,12.0,-1.0,0.0,1.0,1.0
360,45.28,16.166,51.8,5.87009,1.900050197673418,13.0,-1.0,0.0,1.0,1.0
340,48.62,7.024,55.3,5.61757,1.200599236649243,15.0,-1.0,0.0,1.0,1.0
1843,48.49,47.258,17.8,5.90066,8.369745994341704,17.0,0.31859237081254094,2.0,1.0,1.0
