,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
0,56.3,2.0,180.0,5.72648,266.2993972090302,-1.0,-1.0,-1.0,-1.0,0.0,0.0
1,30.23,1.155,150.0,3.91718,217.62190073558244,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2,38.32,1.155,150.0,5.81977,189.203156046191,-1.0,-1.0,-1.0,-1.0,0.0,0.0
3,59.8,1.155,30.0,3.85883,175.0008772077237,-1.0,-1.0,-1.0,-1.0,0.0,0.0
4,54.06,1.155,30.0,5.87268,162.3770129128127,-1.0,-1.0,-1.0,-1.0,0.0,0.0
5,50.55,1.155,30.0,5.7835,121.36304406607292,-1.0,-1.0,-1.0,-1.0,0.0,0.0
6,13.85,1.155,30.0,5.85362,111.90273271906511,-1.0,-1.0,-1.0,-1.0,0.0,0.0
7,19.42,1.155,150.0,5.87476,85.1353305913407,-1.0,-1.0,-1.0,-1.0,0.0,0.0
8,49.34,1.155,150.0,5.87934,69.41837789651927,-1.0,-1.0,-1.0,-1.0,0.0,0.0
9,35.81,1.155,30.0,5.9126,49.06037023608814,-1.0,-1.0,-1.0,-1.0,0.0,0.0
12,26.43,1.155,30.0,4.77821,10.704890080319213,-1.0,-1.0,-1.0,-1.0,0.0,0.0
13,37.03,1.155,30.0,5.86789,11.459032032386709,-1.0,-1.0,-1.0,-1.0,0.0,0.0
14,51.36,1.155,30.0,5.89453,25.43935890255352,-1.0,-1.0,-1.0,-1.0,0.0,0.0
15,48.49,1.155,150.0,5.71685,39.22154556891647,-1.0,-1.0,-1.0,-1.0,0.0,0.0
16,35.24,1.155,30.0,5.90535,81.47553670776573,-1.0,-1.0,-1.0,-1.0,0.0,0.0
17,36.02,1.155,30.0,5.84405,94.05846755801196,-1.0,-1.0,-1.0,-1.0,0.0,0.0
18,51.52,1.155,30.0,5.85578,103.70190071864307,-1.0,-1.0,-1.0,-1.0,0.0,0.0
19,41.27,1.155,150.0,5.84991,109.44439232161912,-1.0,-1.0,-1.0,-1.0,0.0,0.0
20,52.84,1.155,150.0,5.41148,116.16213302361959,-1.0,-1.0,-1.0,-1.0,0.0,0.0
21,26.7,1.155,30.0,4.83901,141.70369268047688,-1.0,-1.0,-1.0,-1.0,0.0,0.0
22,39.8,1.155,150.0,5.90155,159.09409406953003,-1.0,-1.0,-1.0,-1.0,0.0,0.0
23,17.97,1.155,150.0,4.41704,179.24279385520134,-1.0,-1.0,-1.0,-1.0,0.0,0.0
24,53.56,1.155,150.0,5.8226,217.105218847973,-1.0,-1.0,-1.0,-1.0,0.0,0.0
25,45.41,1.155,30.0,5.90492,223.5209882396587,-1.0,-1.0,-1.0,-1.0,0.0,0.0
26,41.82,1.155,150.0,5.77932,227.36636008201026,-1.0,-1.0,-1.0,-1.0,0.0,0.0
27,57.18,1.155,150.0,5.72847,201.46857491967438,-1.0,-1.0,-1.0,-1.0,0.0,0.0
