,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
0,51.73,2.0,180.0,3.30662,179.25452059343706,-1.0,-1.0,-1.0,0.0,0.0
1,28.33,1.155,30.0,5.52231,161.57793278424396,-1.0,-1.0,-1.0,0.0,0.0
2,28.01,1.155,150.0,5.70527,147.8714400054498,-1.0,-1.0,-1.0,0.0,0.0
3,57.89,1.155,150.0,5.89039,145.44229901874786,-1.0,-1.0,-1.0,0.0,0.0
4,36.65,1.155,30.0,5.85233,130.18872133168617,-1.0,-1.0,-1.0,0.0,0.0
5,40.93,1.155,150.0,5.83851,111.98247047883561,-1.0,-1.0,-1.0,0.0,0.0
6,59.68,1.155,30.0,5.76768,103.34172859183657,-1.0,-1.0,-1.0,0.0,0.0
7,28.19,1.155,30.0,5.86998,93.58738745837668,-1.0,-1.0,-1.0,0.0,0.0
8,34.55,1.155,150.0,5.8348,83.28213854596314,-1.0,-1.0,-1.0,0.0,0.0
9,39.83,1.155,30.0,5.80882,82.23683200079229,-1.0,-1.0,-1.0,0.0,0.0
10,46.46,1.155,30.0,5.88082,83.51435340059065,-1.0,-1.0,-1.0,0.0,0.0
11,59.35,1.155,30.0,5.80478,84.7761074253465,-1.0,-1.0,-1.0,0.0,0.0
12,45.52,1.155,150.0,4.66568,92.82652790974204,-1.0,-1.0,-1.0,0.0,0.0
13,37.83,1.155,30.0,5.74672,94.98472584420865,-1.0,-1.0,-1.0,0.0,0.0
14,42.22,1.155,150.0,4.94649,111.89485196802772,-1.0,-1.0,-1.0,0.0,0.0
15,51.07,1.155,150.0,5.69653,116.02364657704187,-1.0,-1.0,-1.0,0.0,0.0
16,47.78,1.155,150.0,5.81921,131.5830076841973,-1.0,-1.0,-1.0,0.0,0.0
17,57.3,1.155,30.0,4.21845,157.23918625090167,-1.0,-1.0,-1.0,0.0,0.0
18,37.16,1.155,150.0,5.89015,163.63744105180044,-1.0,-1.0,-1.0,0.0,0.0
19,35.62,1.155,30.0,5.83402,185.9832440845346,-1.0,-1.0,-1.0,0.0,0.0
20,23.24,1.155,150.0,5.83793,195.39171208909931,-1.0,-1.0,-1.0,0.0,0.0
21,50.46,1.155,30.0,5.21772,207.63704974679592,-1.0,-1.0,-1.0,0.0,0.0
22,14.56,1.155,150.0,5.84181,185.11272538508157,-1.0,-1.0,-1.0,0.0,0.0
23,51.89,1.155,150.0,4.33718,171.35505138758427,-1.0,-1.0,-1.0,0.0,0.0
24,59.12,1.155,150.0,5.8192,152.45436366516776,-1.0,-1.0,-1.0,0.0,0.0
25,43.58,1.155,30.0,5.47242,148.47371631393545,-1.0,-1.0,-1.0,0.0,0.0
26,45.57,1.155,30.0,5.3802,140.60059495888495,-1.0,-1.0,-1.0,0.0,0.0
27,47.97,1.155,150.0,5.91288,129.04789878605337,-1.0,-1.0,-1.0,0.0,0.0
28,59.13,1.155,30.0,5.4314,113.08723899196235,-1.0,-1.0,-1.0,0.0,0.0
29,46.92,1.155,150.0,4.7045,109.56180309588962,-1.0,-1.0,-1.0,0.0,0.0
30,59.98,1.155,30.0,5.65114,103.84664151793989,-1.0,-1.0,-1.0,0.0,0.0
31,33.06,1.155,150.0,3.61902,94.17454689787954,-1.0,-1.0,-1.0,0.0,0.0
32,46.1,1.155,30.0,4.04059,78.93909322786185,-1.0,-1.0,-1.0,0.0,0.0
33,53.1,1.155,150.0,5.84868,68.5233864775101,-1.0,-1.0,-1.0,0.0,0.0
34,38.16,1.155,30.0,5.52608,69.88712523890817,-1.0,-1.0,-1.0,0.0,0.0
35,23.58,1.155,150.0,5.48557,80.58340242240797,-1.0,-1.0,-1.0,0.0,0.0
36,51.49,1.155,150.0,5.51538,108.57350926761268,-1.0,-1.0,-1.0,0.0,0.0
37,36.27,1.155,150.0,5.52185,108.98180925930174,-1.0,-1.0,-1.0,0.0,0.0
38,31.5,1.155,30.0,3.43572,98.91609291559642,-1.0,-1.0,-1.0,0.0,0.0
39,41.85,1.155,30.0,5.79501,67.97986894894778,-1.0,-1.0,-1.0,0.0,0.0
40,56.81,1.155,150.0,5.83902,53.35149568153269,-1.0,-1.0,-1.0,0.0,0.0
41,29.12,1.155,30.0,5.73963,35.941435341966574,-1.0,-1.0,-1.0,0.0,0.0
42,60.07,1.155,30.0,4.49739,28.469473752436325,-1.0,-1.0,-1.0,0.0,0.0
43,49.75,23.692,87.6,5.87907,170.1206169137147,-1.0,-1.0,-1.0,0.0,0.0
44,25.81,5.292,100.9,5.01594,159.43480136604933,-1.0,-1.0,-1.0,0.0,0.0
