,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
63,29.17,5.291,79.1,5.76039,364.98385316414425,-1.0,-1.0,-1.0,0.0,0.0
64,32.15,2.0,120.0,5.76622,344.0811578879393,-1.0,-1.0,-1.0,0.0,0.0
65,48.09,21.939,90.0,5.90479,323.61624610992806,-1.0,-1.0,-1.0,0.0,0.0
66,43.03,8.718,83.4,5.86479,338.86352594988887,-1.0,-1.0,-1.0,0.0,0.0
67,36.49,12.702,90.0,5.87658,299.3595711314509,-1.0,-1.0,-1.0,0.0,0.0
68,48.87,3.464,90.0,2.29273,286.69280454663203,-1.0,-1.0,-1.0,0.0,0.0
69,48.89,1.155,150.0,5.67124,284.5652456281278,-1.0,-1.0,-1.0,0.0,0.0
70,45.62,30.616,91.9,5.65662,260.4648920337945,-1.0,-1.0,-1.0,0.0,0.0
71,45.96,8.718,83.4,5.89911,279.96440527884096,-1.0,-1.0,-1.0,0.0,0.0
72,48.77,15.621,93.7,5.76246,213.30423433545835,-1.0,-1.0,-1.0,0.0,0.0
73,29.58,4.163,76.1,5.32516,222.8980411627833,-1.0,-1.0,-1.0,0.0,0.0
74,40.45,3.055,70.9,5.90276,157.98972370308277,-1.0,-1.0,-1.0,0.0,0.0
75,27.93,4.163,103.9,5.90137,154.75697781673594,-1.0,-1.0,-1.0,0.0,0.0
76,37.92,15.62,93.7,5.84323,94.01878961790156,-1.0,-1.0,-1.0,0.0,0.0
77,35.13,22.539,87.5,4.16995,109.10048291410708,-1.0,-1.0,-1.0,0.0,0.0
78,49.2,10.392,90.0,5.85339,75.71327478267598,-1.0,-1.0,-1.0,0.0,0.0
79,48.28,15.621,86.3,5.87016,83.04886316042264,-1.0,-1.0,-1.0,0.0,0.0
80,40.06,8.083,90.0,5.87254,71.22059172106916,-1.0,-1.0,-1.0,0.0,0.0
81,25.9,14.468,94.0,4.77334,66.65591417561882,-1.0,-1.0,-1.0,0.0,0.0
82,57.58,2.0,120.0,5.27665,72.36142193152915,-1.0,-1.0,-1.0,0.0,0.0
83,46.79,11.015,84.8,5.47339,69.56432727311643,-1.0,-1.0,-1.0,0.0,0.0
84,45.98,8.718,96.6,5.91269,82.14667109582977,-1.0,-1.0,-1.0,0.0,0.0
85,35.85,12.165,85.3,5.80759,75.93171744403001,-1.0,-1.0,-1.0,0.0,0.0
86,32.77,9.866,84.2,4.63232,88.37652322150912,-1.0,-1.0,-1.0,0.0,0.0
87,40.71,3.464,90.0,5.50865,93.54235914228016,-1.0,-1.0,-1.0,0.0,0.0
88,43.47,5.774,90.0,5.85366,97.0189991578286,-1.0,-1.0,-1.0,0.0,0.0
89,39.11,3.464,90.0,5.87446,100.5934292628114,-1.0,-1.0,-1.0,0.0,0.0
90,46.54,10.392,90.0,4.96911,106.12895419617826,-1.0,-1.0,-1.0,0.0,0.0
91,40.38,3.464,90.0,3.70042,111.83954944618844,-1.0,-1.0,-1.0,0.0,0.0
92,48.39,7.572,97.6,5.46137,117.16730933535844,-1.0,-1.0,-1.0,0.0,0.0
93,47.76,20.232,87.2,5.89263,141.7550306941388,-1.0,-1.0,-1.0,0.0,0.0
94,11.15,20.785,90.0,5.74017,160.93790716130138,-1.0,-1.0,-1.0,0.0,0.0
95,41.13,4.163,103.9,5.80513,172.4526757494482,-1.0,-1.0,-1.0,0.0,0.0
96,46.8,6.429,98.9,5.9019,239.68430238106876,-1.0,-1.0,-1.0,0.0,0.0
97,42.13,29.462,88.1,5.04528,222.09992219528763,-1.0,-1.0,-1.0,0.0,0.0
98,45.14,26.0,87.8,5.9011,255.65085719479043,-1.0,-1.0,-1.0,0.0,0.0
99,26.93,4.163,103.9,5.54903,270.53698720562346,-1.0,-1.0,-1.0,0.0,0.0
100,40.86,13.856,90.0,5.66807,295.08268931927773,-1.0,-1.0,-1.0,0.0,0.0
101,24.05,15.62,86.3,5.71407,280.2978784826451,-1.0,-1.0,-1.0,0.0,0.0
102,29.85,15.621,93.7,4.49857,309.68087503426233,-1.0,-1.0,-1.0,0.0,0.0
103,23.83,20.232,87.2,5.86463,327.6099748631714,-1.0,-1.0,-1.0,0.0,0.0
104,40.42,7.572,97.6,4.42042,341.51466469697453,-1.0,-1.0,-1.0,0.0,0.0
105,57.83,5.292,79.1,5.88727,372.2942793034521,-1.0,-1.0,-1.0,0.0,0.0
106,30.83,30.022,90.0,5.902,394.788103725428,-1.0,-1.0,-1.0,0.0,0.0
107,46.56,6.429,98.9,4.57079,413.06343490623163,-1.0,-1.0,-1.0,0.0,0.0
108,45.64,8.718,96.6,5.81373,442.24428992639946,-1.0,-1.0,-1.0,0.0,0.0
109,38.72,7.572,82.4,5.65908,434.07134368408526,-1.0,-1.0,-1.0,0.0,0.0
110,9.41,1.155,90.0,5.86198,630.2477776533367,-1.0,-1.0,-1.0,0.0,0.0
