,phi1_right,PHI_right,phi2_right,phi1_left,PHI_left,phi2_left,misorientation,mis_x_right,mis_y_right,mis_z_right,mis_x_left,mis_y_left,mis_z_left,Length,Trace,x_start,y_start,x_end,y_end,gbID_right,gbID_left,Sigma,Distance_Center,Void_id,x_junction,y_junction,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
14523,1.332,0.099,5.171,5.869,0.893,0.943,55.94,-14.0,17.0,-8.0,-14.0,17.0,-8.0,32.083,175.9,2.0,483.82,34.0,486.13,1817.0,1903.0,4.51699,24.838248951623928,14.0,57.78269367810239,486.73680472488036,24.744489545976485,2.0,0.631236978213686,1,0.05
14655,5.869,0.893,0.943,5.68,0.759,6.182,25.31,12.0,-5.0,-27.0,12.0,-5.0,-27.0,8.718,143.4,34.0,486.13,41.0,491.33,1903.0,1899.0,3.7347,16.135526070527693,14.0,46.5675715333822,494.7568696120689,7.663703307966167,2.0,0.3340384782141871,1,0.6
14685,5.68,0.759,6.182,3.711,0.269,2.634,55.84,-17.0,-17.0,-16.0,-17.0,-17.0,-16.0,8.0,120.0,40.0,482.66,44.0,489.59,1899.0,1892.0,5.11409,15.246673387614546,14.0,46.5675715333822,494.7568696120689,6.3160353224835815,2.0,0.30249258292557923,1,0.8
14708,5.804,0.949,0.976,3.711,0.269,2.634,49.35,-14.0,-5.0,14.0,-14.0,-5.0,14.0,13.614,17.3,44.0,489.59,57.0,485.55,1910.0,1892.0,3.92125,15.246673387614546,14.0,56.87234042553197,485.146484375,6.394884621840902e-14,0.0,0.3472777455722774,1,0.8
14715,1.26,0.437,5.471,2.604,0.487,4.132,32.82,6.0,-1.0,1.0,6.0,-1.0,1.0,29.462,169.8,45.0,907.02,74.0,912.21,2853.0,2829.0,5.61437,3.726280011166526,3.0,-1.0,-1.0,-1.0,0.0,1.0,1,1.0
14735,4.73,0.622,0.899,3.711,0.269,2.634,53.6,17.0,-1.0,24.0,17.0,-1.0,24.0,8.0,120.0,53.0,478.62,57.0,485.55,1852.0,1892.0,3.94653,18.61235822040618,14.0,57.78269367810239,486.73680472488036,1.8324469595896185,2.0,0.12003433041759069,1,0.5
14740,5.804,0.949,0.976,5.963,0.948,0.814,8.39,-17.0,-14.0,12.0,-17.0,-14.0,12.0,9.019,63.7,56.0,494.21,60.0,486.13,1910.0,1911.0,5.86474,10.631835487254554,14.0,59.97446808510638,485.146484375,0.0,0.0,0.22999737426746644,1,1.0
14747,5.266,0.284,0.998,5.869,0.893,0.943,46.9,-19.0,9.0,-14.0,-19.0,9.0,-14.0,13.013,57.5,58.0,531.16,65.0,520.19,2025.0,1903.0,5.60634,21.294790570621867,14.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.2
14754,5.963,0.948,0.814,4.73,0.622,0.899,56.84,-17.0,-18.0,-6.0,-17.0,-18.0,-6.0,10.0,180.0,60.0,486.13,70.0,486.13,1911.0,1852.0,4.69062,19.862926738177496,14.0,59.97446808510638,485.146484375,0.0,0.0,0.0568646463226299,1,0.4
14772,5.897,0.82,0.927,5.963,0.948,0.814,8.86,-15.0,8.0,9.0,-15.0,8.0,9.0,6.429,21.1,65.0,505.18,71.0,502.87,1960.0,1911.0,5.62492,13.600154521598025,14.0,70.31489361702127,502.6943359375,0.0,2.0,0.15691289461924907,1,0.9
14795,5.897,0.82,0.927,4.685,0.709,0.966,56.26,-22.0,-19.0,-9.0,-22.0,-19.0,-9.0,14.0,81.8,69.0,516.73,71.0,502.87,1960.0,1933.0,5.90585,19.646808510638294,14.0,70.31489361702127,502.6943359375,0.0,2.0,0.11120081211926645,1,0.4
14796,4.685,0.709,0.966,5.266,0.284,0.998,42.41,0.0,-11.0,-12.0,0.0,-11.0,-12.0,30.746,144.4,69.0,516.73,94.0,534.63,1933.0,2025.0,5.25164,22.11514435456344,14.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.2
14800,1.706,0.426,5.156,4.73,0.622,0.899,57.02,20.0,-21.0,8.0,20.0,-21.0,8.0,18.148,52.7,70.0,486.13,81.0,471.7,1870.0,1852.0,3.94447,25.580503338406473,14.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.05
14809,5.963,0.948,0.814,4.685,0.709,0.966,55.41,-14.0,-17.0,-7.0,-14.0,-17.0,-7.0,9.165,70.9,71.0,502.87,74.0,494.21,1911.0,1933.0,4.46903,19.646808510638294,14.0,69.06315789473683,506.4429481907895,3.952079976917847,1.0,0.10081836675810835,1,0.4
14876,3.459,0.745,2.782,3.84,0.478,2.929,32.82,-16.0,7.0,-23.0,-16.0,7.0,-23.0,14.422,13.9,90.0,811.75,104.0,808.29,2638.0,2556.0,5.65525,8.067763035263846,5.0,-1.0,-1.0,-1.0,0.0,0.06980392215075608,1,1.0
14973,3.84,0.478,2.929,3.459,0.745,2.782,32.82,16.0,-7.0,23.0,16.0,-7.0,23.0,13.115,172.4,114.0,809.45,127.0,811.18,2556.0,2638.0,5.89753,8.884829327874964,5.0,-1.0,-1.0,-1.0,0.0,0.0,1,1.0
15257,1.844,0.476,4.225,4.979,0.217,0.598,48.33,-9.0,10.0,9.0,-9.0,10.0,9.0,32.187,6.2,196.0,229.79,228.0,226.32,610.0,543.0,5.54513,20.45502854839618,22.0,227.48936170212764,226.0576171875,0.0,2.0,0.12349917928293208,1,0.8
15328,0.269,0.691,6.038,1.844,0.476,4.225,49.28,-26.0,5.0,14.0,-26.0,5.0,14.0,24.194,18.1,210.0,264.43,233.0,256.92,1046.0,610.0,4.30415,18.06500460340516,22.0,250.7165425531915,249.437548828125,19.20982520861108,2.0,0.5566913846084166,1,0.9
15388,0.717,0.653,4.947,4.979,0.217,0.598,44.05,-2.0,30.0,1.0,-2.0,30.0,1.0,22.745,45.3,228.0,226.32,244.0,210.16,577.0,543.0,5.60764,20.45502854839618,22.0,227.48936170212764,226.0576171875,0.0,2.0,0.2696636451563616,1,0.8
15501,2.857,0.088,3.571,0.717,0.653,4.947,57.78,-14.0,-16.0,21.0,-14.0,-16.0,21.0,15.621,33.7,254.0,229.79,267.0,221.13,599.0,577.0,4.79211,16.07180814516844,22.0,-1.0,-1.0,-1.0,0.0,0.16347984169568883,1,1.0
15515,2.857,0.088,3.571,0.269,0.691,6.038,44.31,-23.0,-3.0,3.0,-23.0,-3.0,3.0,9.866,155.8,259.0,253.46,268.0,257.5,599.0,1046.0,5.82986,20.667783283534792,22.0,250.7165425531915,249.437548828125,8.526746672375808,2.0,0.23758393850714252,1,0.9
15895,4.98,0.409,1.006,2.777,0.75,3.323,44.26,-17.0,-13.0,4.0,-17.0,-13.0,4.0,8.083,150.0,354.0,913.37,361.0,917.41,2822.0,2902.0,5.86136,11.421209038251364,2.0,372.0951153730896,923.0140845070422,12.910461467997333,2.0,0.5935226222627432,1,1.0
16004,4.98,0.409,1.006,1.356,0.372,4.361,46.65,7.0,-14.0,6.0,7.0,-14.0,6.0,10.392,30.0,384.0,916.83,393.0,911.64,2822.0,2832.0,5.58101,11.421209038251305,2.0,372.0951153730896,923.0140845070423,13.18972881671818,2.0,0.5801556496239574,1,1.0
16012,1.356,0.372,4.361,0.694,0.844,5.406,43.16,-18.0,-15.0,-19.0,-18.0,-15.0,-19.0,6.429,158.9,386.0,923.76,392.0,926.07,2832.0,2972.0,5.77843,15.261432712763854,2.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.9
16514,4.588,0.414,2.359,2.781,0.558,3.884,44.39,4.0,-29.0,6.0,4.0,-29.0,6.0,33.645,162.0,527.0,101.04,559.0,111.43,136.0,220.0,4.3013,11.171285058038936,23.0,-1.0,-1.0,-1.0,0.0,0.2879554107474609,1,1.0
