,phi1_right,PHI_right,phi2_right,phi1_left,PHI_left,phi2_left,misorientation,mis_x_right,mis_y_right,mis_z_right,mis_x_left,mis_y_left,mis_z_left,Length,Trace,x_start,y_start,x_end,y_end,gbID_right,gbID_left,Sigma,Distance_Center,Void_id,x_junction,y_junction,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
22956,4.238,0.37,1.486,0.073,0.518,0.092,56.74,-11.0,-9.0,-11.0,-11.0,-9.0,-11.0,17.776,17.0,664.0,461.88,681.0,456.68,2072.0,1896.0,5.89167,12.966447541359193,9.0,658.8498154981552,462.6955528846154,4.616643327221413,2.0,0.6573781256989821,1.0,0.9
23037,4.238,0.37,1.486,4.638,0.499,1.169,12.32,-21.0,9.0,-5.0,-21.0,9.0,-5.0,8.327,76.1,679.0,464.77,681.0,456.68,2072.0,2084.0,5.89648,11.00485731638541,9.0,678.7892708673922,464.2269086234178,0.2993537986821662,1.0,0.21190437979727406,1.0,1.0
23050,4.638,0.499,1.169,0.073,0.518,0.092,51.71,-15.0,-20.0,-16.0,-15.0,-20.0,-16.0,11.015,3.0,681.0,456.68,692.0,456.11,2084.0,1896.0,5.8095,18.010509110750334,9.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.7
23062,3.877,0.5,2.742,4.638,0.499,1.169,43.53,-3.0,7.0,-14.0,-3.0,7.0,-14.0,11.547,30.0,687.0,474.0,697.0,468.23,2165.0,2084.0,5.77746,15.629462354507572,9.0,676.3450912798603,478.8685752467104,11.836839652853904,1.0,0.47903852217389215,1.0,0.8
23345,6.068,0.238,0.226,0.578,0.289,6.214,29.51,-1.0,-3.0,-7.0,-1.0,-3.0,-7.0,12.165,34.7,741.0,1236.11,751.0,1229.18,4014.0,3991.0,5.4533,5.18359375,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
23729,1.107,0.48,4.882,3.168,0.458,2.9,45.64,20.0,22.0,1.0,20.0,22.0,1.0,24.249,8.2,824.0,427.24,848.0,423.78,1914.0,1850.0,5.7854,28.986442360946707,10.0,-1.0,-1.0,-1.0,0.0,0.018251297052416963,1.0,0.5
23735,0.054,0.309,6.266,1.107,0.48,4.882,32.83,5.0,-14.0,14.0,5.0,-14.0,14.0,19.009,1.7,825.0,463.61,844.0,463.03,2126.0,1914.0,5.8234,21.275671573813476,10.0,877.5578413284134,462.6357421875,33.877029520295196,2.0,0.959737036941516,1.0,0.9
23767,1.644,0.613,3.963,1.992,0.528,3.652,11.8,3.0,12.0,1.0,3.0,12.0,1.0,8.083,8.2,831.0,353.92,839.0,352.76,1506.0,1448.0,3.93597,6.48612462891339,12.0,844.1528010734655,351.5419034090909,5.7417496889453306,1.0,0.5970076347057224,1.0,0.9
23810,4.742,0.582,0.782,2.455,0.182,4.094,49.69,24.0,-8.0,17.0,24.0,-8.0,17.0,10.263,107.0,839.0,331.98,842.0,341.79,1154.0,1194.0,5.77588,8.1972927748177,12.0,843.2088225427709,348.24325284090884,7.719891004847366,2.0,0.787743980086466,1.0,0.8
23870,0.834,0.552,4.69,0.976,0.716,4.529,10.87,15.0,-23.0,7.0,15.0,-23.0,7.0,8.083,68.2,847.0,359.69,850.0,352.18,1353.0,1511.0,5.91846,5.802848343720606,12.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
23884,3.168,0.458,2.9,2.959,0.652,3.296,17.78,12.0,-6.0,-13.0,12.0,-6.0,-13.0,13.317,85.7,849.0,423.2,850.0,409.92,1850.0,1851.0,5.91836,29.6151563217195,10.0,-1.0,-1.0,-1.0,0.0,0.0028688325093404812,1.0,0.5
23885,2.959,0.652,3.296,2.651,0.66,3.376,14.25,-3.0,-19.0,17.0,-3.0,-19.0,17.0,8.718,143.4,849.0,423.2,856.0,428.39,1851.0,1915.0,5.35547,22.633793000510966,10.0,860.369003690037,431.6452566964287,6.407401768620466,2.0,0.33753424037217483,1.0,0.7
23888,0.834,0.552,4.69,2.455,0.182,4.094,47.69,0.0,21.0,20.0,0.0,21.0,20.0,23.352,10.0,850.0,347.56,873.0,343.52,1353.0,1194.0,4.21321,5.351167220268504,12.0,843.2088225427709,348.24325284090907,5.741749688945097,2.0,0.5858928254025609,1.0,1.0
23957,0.828,0.972,5.503,2.694,0.363,3.865,37.08,-12.0,6.0,-7.0,-12.0,6.0,-7.0,14.048,4.7,872.0,435.32,886.0,434.17,1978.0,1977.0,4.09823,18.698913041168964,10.0,-1.0,-1.0,-1.0,0.0,0.22734867957562888,1.0,1.0
23965,2.959,0.652,3.296,2.694,0.363,3.865,26.29,-19.0,0.0,-20.0,-19.0,0.0,-20.0,13.013,177.5,873.0,433.59,886.0,434.17,1851.0,1977.0,5.63681,20.500573971335978,10.0,860.369003690037,431.6452566964286,11.926158507843907,2.0,0.4746336298246065,1.0,0.9
23971,0.054,0.309,6.266,5.775,0.294,0.114,25.11,1.0,7.0,17.0,1.0,7.0,17.0,13.317,85.7,876.0,490.75,877.0,477.47,2126.0,2170.0,5.82695,31.355945337838943,10.0,877.5578413284134,462.6357421875,14.326206898938462,2.0,0.3197814039941621,1.0,0.3
24014,0.971,0.747,5.306,0.828,0.972,5.503,15.44,-11.0,-5.0,-5.0,-11.0,-5.0,-5.0,19.698,75.3,885.0,453.22,890.0,434.17,1939.0,1978.0,5.8096,23.506787906586307,10.0,-1.0,-1.0,-1.0,0.0,0.22043168175316066,1.0,0.7
24046,0.971,0.747,5.306,2.959,0.652,3.296,42.59,-20.0,20.0,-7.0,-20.0,20.0,-7.0,9.866,35.8,890.0,434.17,898.0,428.39,1939.0,1851.0,5.79349,32.51514789631049,10.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.4
25095,4.203,0.598,1.343,4.766,0.284,1.534,45.95,-6.0,-10.0,-21.0,-6.0,-10.0,-21.0,10.392,30.0,1100.0,357.96,1109.0,352.76,1512.0,1240.0,5.88441,14.673143088513827,15.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
25523,4.305,0.201,2.733,2.172,0.736,3.568,52.61,-10.0,-19.0,-8.0,-10.0,-19.0,-8.0,8.718,156.6,1196.0,527.7,1204.0,531.16,2417.0,2379.0,5.71932,11.965798247599402,8.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.8
25524,2.172,0.736,3.568,0.911,0.598,5.499,57.71,-13.0,-14.0,16.0,-13.0,-14.0,16.0,15.144,22.4,1196.0,527.7,1210.0,521.92,2379.0,2230.0,5.90702,8.302978794796092,8.0,-1.0,-1.0,-1.0,0.0,0.14692826187980124,1.0,1.0
25594,0.911,0.598,5.499,0.628,1.007,5.276,35.47,-11.0,-5.0,11.0,-11.0,-5.0,11.0,23.861,82.8,1210.0,521.92,1213.0,498.25,2230.0,2327.0,5.47447,8.302978794796092,8.0,-1.0,-1.0,-1.0,0.0,0.0697405006808413,1.0,1.0
25604,2.182,0.463,4.589,4.153,0.718,1.837,56.92,-10.0,-11.0,17.0,-10.0,-11.0,17.0,44.377,7.5,1212.0,344.1,1256.0,338.33,1308.0,1173.0,5.21327,23.917218928162125,13.0,-1.0,-1.0,-1.0,0.0,0.016862922157697052,1.0,0.7
25619,2.182,0.463,4.589,5.841,0.905,0.797,43.0,-6.0,-5.0,-6.0,-6.0,-5.0,-6.0,38.592,163.5,1214.0,352.18,1251.0,363.15,1308.0,1522.0,5.81786,25.062720361114128,13.0,1253.8889661403948,364.11705862811584,4.141477773211557,1.0,0.1137768619014164,1.0,0.7
25660,0.716,0.132,5.295,0.628,1.007,5.276,50.47,-16.0,-22.0,3.0,-16.0,-22.0,3.0,45.299,173.4,1223.0,525.97,1268.0,531.16,2406.0,2327.0,5.85234,8.20777657005397,8.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
25795,3.371,0.36,3.052,4.17,0.836,2.239,36.6,3.0,10.0,2.0,3.0,10.0,2.0,19.009,121.7,1255.0,613.72,1265.0,629.89,2760.0,2774.0,5.88781,15.618626486383153,3.0,1272.4830593760482,643.2074085582385,15.741825746960734,2.0,1.2493512497587884,1.0,0.9
25803,4.782,0.555,2.005,4.153,0.718,1.837,45.03,16.0,1.0,26.0,16.0,1.0,26.0,11.547,90.0,1256.0,326.78,1256.0,338.33,1184.0,1173.0,4.62249,23.917218928162125,13.0,-1.0,-1.0,-1.0,0.0,0.016492447681732483,1.0,0.7
25805,4.782,0.555,2.005,2.182,0.463,4.589,36.17,-4.0,15.0,2.0,-4.0,15.0,2.0,13.317,145.7,1256.0,338.33,1267.0,345.83,1184.0,1308.0,5.89447,11.153764808801627,13.0,-1.0,-1.0,-1.0,0.0,0.36575623504654803,1.0,1.0
25880,0.212,0.382,6.234,3.374,0.84,2.931,23.02,-13.0,7.0,-1.0,-13.0,7.0,-1.0,9.165,70.9,1269.0,381.63,1272.0,372.97,1648.0,1671.0,5.70336,18.327357978892366,13.0,1271.3438890230025,369.71861309871525,2.2927194469222822,1.0,0.18603808331763988,1.0,0.9
25891,5.521,0.726,1.273,5.883,0.689,0.784,18.23,-6.0,-5.0,7.0,-6.0,-5.0,7.0,8.327,76.1,1270.0,639.7,1272.0,631.62,2798.0,2781.0,5.88969,6.617970755068464,3.0,-1.0,-1.0,-1.0,0.0,0.40803467452008574,1.0,1.0
25902,2.594,0.65,2.914,3.374,0.84,2.931,46.6,2.0,18.0,-19.0,2.0,18.0,-19.0,62.525,7.4,1272.0,372.97,1334.0,364.89,1251.0,1671.0,5.80518,18.327357978892366,13.0,-1.0,-1.0,-1.0,0.0,0.3803870900602326,1.0,0.9
25927,4.056,0.818,1.82,6.069,0.564,0.672,48.77,15.0,1.0,-24.0,15.0,1.0,-24.0,23.438,159.8,1280.0,548.48,1302.0,556.57,2511.0,2483.0,5.209,14.790240089884453,7.0,1317.194105651583,561.3422800164474,16.253619100466913,2.0,0.7807024505549637,1.0,0.9
25937,3.429,0.525,2.581,5.883,0.689,0.784,36.02,13.0,14.0,-6.0,13.0,14.0,-6.0,32.187,164.4,1282.0,645.48,1313.0,654.14,2813.0,2781.0,5.88027,7.336571544256994,3.0,1272.4830593760482,643.2074085582386,8.878072888173056,2.0,0.7107304656467069,1.0,1.0
25962,2.594,0.65,2.914,4.782,0.555,2.005,36.26,6.0,-3.0,4.0,6.0,-3.0,4.0,20.232,32.8,1288.0,344.1,1305.0,333.13,1251.0,1184.0,4.17049,17.644562560986067,13.0,1277.0125830258303,349.9098567708333,12.410492198414696,1.0,0.4683913968781083,1.0,0.9
26015,5.067,0.616,1.778,3.221,0.7,3.049,61.44,16.0,-16.0,7.0,16.0,-16.0,7.0,14.422,166.1,1296.0,521.92,1310.0,525.39,2328.0,2382.0,5.90539,22.371756614684596,7.0,1309.6522140221402,524.8388671875,0.0,3.0,0.1466766646600891,1.0,0.6
26074,5.067,0.616,1.778,4.633,0.431,2.336,19.1,9.0,-22.0,-15.0,9.0,-22.0,-15.0,24.331,25.3,1310.0,525.39,1332.0,515.0,2328.0,2366.0,5.16987,22.371756614684596,7.0,1309.6522140221402,524.8388671875,0.0,3.0,0.1375134965092088,1.0,0.6
26075,4.633,0.431,2.336,3.221,0.7,3.049,52.25,11.0,-12.0,11.0,11.0,-12.0,11.0,13.115,127.6,1310.0,525.39,1318.0,535.78,2366.0,2382.0,5.6892,12.295939162226533,7.0,1309.6522140221402,524.8388671875,0.0,3.0,0.3469061045255224,1.0,1.0
26134,4.056,0.818,1.82,5.838,0.598,0.717,45.52,19.0,-2.0,-20.0,19.0,-2.0,-20.0,10.0,120.0,1321.0,567.54,1326.0,576.2,2511.0,2517.0,5.78522,20.49323193704427,7.0,1317.194105651583,561.3422800164474,5.721084763395191,2.0,0.20358706145704716,1.0,0.7
26175,4.633,0.431,2.336,6.198,0.467,0.626,38.32,-23.0,-1.0,9.0,-23.0,-1.0,9.0,8.083,150.0,1329.0,544.44,1336.0,548.48,2366.0,2498.0,5.7195,14.511010383486783,7.0,1337.1145368032628,548.9152960526316,1.679771888971642,2.0,0.2582526405626722,1.0,0.9
26194,6.198,0.467,0.626,5.838,0.598,0.717,17.94,1.0,19.0,19.0,1.0,19.0,19.0,10.263,73.0,1334.0,560.03,1337.0,550.21,2498.0,2517.0,3.27909,23.38800832527519,7.0,1337.1145368032628,548.9152960526319,0.5828602768849115,2.0,0.2870605377024327,1.0,0.7
26231,0.347,0.712,5.813,2.691,0.738,3.67,14.96,-16.0,-1.0,3.0,-16.0,-1.0,3.0,15.875,19.1,1344.0,260.96,1359.0,255.77,953.0,592.0,5.79001,7.565207135132586,18.0,1358.9750922509227,255.29199218750006,5.684341886080802e-14,2.0,0.22434745501066714,1.0,1.0
26233,0.347,0.712,5.813,1.838,0.779,3.765,53.23,-9.0,8.0,11.0,-9.0,8.0,11.0,9.165,10.9,1345.0,263.85,1354.0,262.12,953.0,1011.0,5.82,11.965798247599402,18.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.7
26277,0.347,0.712,5.813,2.228,0.555,4.619,47.73,-22.0,-21.0,-1.0,-22.0,-21.0,-1.0,8.083,51.8,1354.0,262.12,1359.0,255.77,953.0,937.0,5.89698,7.565207135132586,18.0,1358.9750922509227,255.2919921875,0.0,2.0,0.3650991241512893,1.0,1.0
26301,2.691,0.738,3.67,5.864,0.519,0.532,43.18,17.0,18.0,16.0,17.0,18.0,16.0,21.071,124.7,1357.0,228.05,1369.0,245.37,592.0,676.0,5.8168,14.489326880944052,18.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.6
26309,1.838,0.779,3.765,2.202,0.579,4.721,25.53,-5.0,12.0,14.0,-5.0,12.0,14.0,22.716,142.4,1358.0,264.43,1376.0,278.28,1011.0,886.0,5.70302,9.355203330110077,18.0,-1.0,-1.0,-1.0,0.0,0.37933945086481,1.0,0.8
26320,2.202,0.579,4.721,2.691,0.738,3.67,42.23,14.0,1.0,27.0,14.0,1.0,27.0,11.136,51.1,1362.0,254.03,1369.0,245.37,886.0,592.0,3.86922,6.483223770679596,18.0,1361.1654174354248,254.56304931640597,0.6971103005496307,1.0,0.35559285239381344,1.0,1.0
26704,2.693,0.735,3.675,0.358,0.719,5.808,14.88,17.0,3.0,1.0,17.0,3.0,1.0,10.066,6.6,2.0,327.93,12.0,326.78,1103.0,1448.0,5.91847,8.39266670020773,21.0,12.827272727272746,326.5588924963925,1.8148928228592371,2.0,0.33516638141872696,1,1.0
26774,0.358,0.719,5.808,2.222,0.542,4.634,47.84,-17.0,-16.0,-1.0,-17.0,-16.0,-1.0,8.083,51.8,7.0,333.13,12.0,326.78,1448.0,1420.0,5.9019,8.39266670020773,21.0,-1.0,-1.0,-1.0,0.0,0.3395896471498816,1,1.0
26799,2.191,0.572,4.721,1.828,0.767,3.783,26.02,-17.0,-7.0,-21.0,-17.0,-7.0,-21.0,19.698,135.3,13.0,336.6,27.0,350.45,1325.0,1524.0,5.66986,8.602716805550989,21.0,-1.0,-1.0,-1.0,0.0,0.35392331643345787,1,1.0
26805,2.191,0.572,4.721,2.693,0.735,3.675,41.58,6.0,0.0,11.0,6.0,0.0,11.0,11.136,51.1,15.0,325.05,22.0,316.39,1325.0,1103.0,3.81008,7.050071033204384,21.0,12.827272727272746,326.5588924963925,2.5022073084232805,2.0,0.4891416183973031,1,1.0
27355,5.458,0.443,0.264,5.823,0.573,0.518,35.15,-5.0,-3.0,-15.0,-5.0,-3.0,-15.0,10.0,180.0,140.0,314.08,150.0,314.08,1279.0,1331.0,5.52989,16.25136000184083,22.0,149.91875000000002,313.55654761904765,0.0,2.0,0.0,1,0.7
27376,5.458,0.443,0.264,0.172,0.642,6.204,42.81,-6.0,-13.0,-14.0,-6.0,-13.0,-14.0,10.263,107.0,147.0,304.26,150.0,314.08,1279.0,1055.0,5.48743,16.25136000184083,22.0,149.91875000000002,313.55654761904765,0.0,2.0,0.0,1,0.7
27394,0.172,0.642,6.204,5.823,0.573,0.518,21.18,6.0,14.0,-3.0,6.0,14.0,-3.0,8.083,150.0,150.0,314.08,157.0,318.12,1055.0,1331.0,5.91578,9.962957496386142,22.0,169.7609375,326.7589285714286,15.888713920361484,2.0,0.8515636864073424,1,1.0
27412,4.32,0.203,2.051,3.473,0.816,2.836,39.82,15.0,1.0,0.0,15.0,1.0,0.0,23.065,4.3,155.0,218.82,178.0,217.08,468.0,613.0,5.13636,20.911435160889937,25.0,177.47734375000002,216.73908730158732,0.0,0.0,0.06434065031447112,1,0.2
27413,5.823,0.573,0.518,0.668,0.834,6.019,43.12,-8.0,-17.0,-3.0,-8.0,-17.0,-3.0,12.055,54.5,155.0,350.45,162.0,340.64,1331.0,1556.0,5.86834,12.545886892215847,22.0,169.7609375,326.7589285714286,15.876813734949781,2.0,0.6649064555298962,1,0.8
27422,0.38,0.639,5.76,0.172,0.642,6.204,17.38,-1.0,3.0,-7.0,-1.0,3.0,-7.0,13.614,42.7,157.0,318.12,167.0,308.88,1308.0,1055.0,5.85986,9.962957496386142,22.0,-1.0,-1.0,-1.0,0.0,0.2175530389606671,1,1.0
27450,0.668,0.834,6.019,0.38,0.639,5.76,31.24,5.0,12.0,22.0,5.0,12.0,22.0,49.003,0.7,162.0,340.64,211.0,340.06,1556.0,1308.0,5.89367,12.545886892215847,22.0,-1.0,-1.0,-1.0,0.0,0.09665159603220215,1,0.9
27481,1.953,0.5,3.616,4.32,0.203,2.051,57.29,-9.0,17.0,-21.0,-9.0,17.0,-21.0,14.189,129.4,170.0,196.3,179.0,207.27,461.0,468.0,5.90594,19.02828612093457,25.0,178.57968750000003,206.83730158730162,4.0194366942304644e-14,2.0,0.1366994671328885,1,0.5
27504,0.247,0.705,6.238,3.473,0.816,2.836,15.73,-7.0,27.0,-11.0,-7.0,27.0,-11.0,11.719,140.2,178.0,217.08,187.0,224.59,571.0,613.0,5.85021,18.057683982471296,25.0,177.47734375000002,216.73908730158732,0.0,0.0,0.2790899732199768,1,0.8
27508,4.32,0.203,2.051,0.389,0.787,6.023,45.7,24.0,-10.0,-9.0,24.0,-10.0,-9.0,6.429,98.9,179.0,207.27,180.0,213.62,468.0,497.0,5.91327,17.943671173306136,25.0,178.57968750000003,206.83730158730162,4.0194366942304644e-14,2.0,0.1530537602110431,1,0.8
27513,1.953,0.5,3.616,4.224,0.28,1.95,51.04,-9.0,17.0,-14.0,-9.0,17.0,-14.0,11.136,111.0,180.0,191.68,184.0,202.07,461.0,420.0,5.88364,16.817558491713047,25.0,-1.0,-1.0,-1.0,0.0,0.2084955883519694,1,0.9
27541,3.473,0.816,2.836,3.204,0.905,2.806,17.32,8.0,-9.0,11.0,8.0,-9.0,11.0,20.133,113.4,187.0,224.59,195.0,243.06,613.0,645.0,3.70909,18.057683982471296,25.0,184.92901390255906,221.32180352455947,3.405147060908728,1.0,0.2592091119080968,1,0.8
27633,4.224,0.28,1.95,4.305,0.337,2.071,11.9,0.0,5.0,-16.0,0.0,5.0,-16.0,8.718,143.4,213.0,211.89,220.0,217.08,420.0,586.0,5.64708,15.471979130268364,25.0,219.36640625,216.73908730158732,0.0,0.0,0.17517238566960908,1,1.0
27634,4.303,0.524,1.243,3.204,0.905,2.806,55.67,-8.0,-5.0,-5.0,-8.0,-5.0,-5.0,18.33,130.9,213.0,221.13,225.0,234.98,611.0,645.0,5.48885,18.336222675125555,25.0,-1.0,-1.0,-1.0,0.0,0.08831083101777734,1,0.8
27635,4.303,0.524,1.243,4.305,0.337,2.071,43.72,4.0,-5.0,25.0,4.0,-5.0,25.0,8.083,30.0,213.0,221.13,220.0,217.08,611.0,586.0,5.61268,18.336222675125555,25.0,219.36640625,216.73908730158732,0.0,0.0,0.15626433423217534,1,0.8
27673,4.224,0.28,1.95,4.303,0.524,1.243,38.85,-1.0,11.0,28.0,-1.0,11.0,28.0,17.088,5.8,220.0,217.08,237.0,215.35,420.0,611.0,5.84849,23.013917810068172,25.0,219.36640625,216.73908730158732,0.0,0.0,0.0,1,0.2
27893,1.641,0.269,4.744,3.775,0.698,2.943,51.55,21.0,15.0,-7.0,21.0,15.0,-7.0,17.01,160.2,271.0,502.87,287.0,508.65,3223.0,3655.0,5.81986,13.633679618553565,12.0,-1.0,-1.0,-1.0,0.0,0.08868020009545811,1,0.9
27982,4.401,0.66,1.389,5.944,0.541,6.206,47.1,-8.0,-13.0,2.0,-8.0,-13.0,2.0,20.133,6.6,288.0,333.71,308.0,331.4,1504.0,1327.0,5.43972,12.305393057903986,23.0,-1.0,-1.0,-1.0,0.0,0.24540502056601587,1,0.7
27984,1.641,0.269,4.744,0.644,0.105,5.517,17.9,-10.0,19.0,20.0,-10.0,19.0,20.0,8.083,90.0,288.0,499.99,288.0,508.07,3223.0,3624.0,5.55371,12.323810981675635,12.0,-1.0,-1.0,-1.0,0.0,0.288571428571428,1,1.0
27997,3.319,0.35,3.034,5.944,0.541,6.206,47.7,18.0,-10.0,9.0,18.0,-10.0,9.0,15.011,177.8,290.0,314.08,305.0,314.66,1191.0,1327.0,5.83173,10.393808986367969,23.0,310.0686279296875,315.10370163690476,5.838884866762505,2.0,0.45146929775344197,1,0.9
28075,3.319,0.35,3.034,0.18,0.604,5.954,39.41,20.0,-9.0,0.0,20.0,-9.0,0.0,17.01,100.2,307.0,297.34,310.0,314.08,1191.0,864.0,5.84132,7.383235834742422,23.0,310.0686279296875,315.10370163690476,1.5779121482344707,2.0,0.39327716264645707,1,1.0
28081,1.641,0.269,4.744,5.121,0.434,0.461,59.28,-10.0,15.0,19.0,-10.0,15.0,19.0,29.28,172.1,309.0,516.73,338.0,520.77,3223.0,3722.0,4.35498,14.100142066408745,12.0,-1.0,-1.0,-1.0,0.0,0.0232599484415586,1,1.0
28093,5.914,0.549,6.234,4.401,0.66,1.389,46.61,16.0,25.0,-4.0,16.0,25.0,-4.0,16.166,171.8,316.0,331.4,332.0,333.71,1380.0,1504.0,5.81969,11.220708609667494,23.0,313.23173159246574,330.88844042183086,2.0565519521244195,1.0,0.33493049484583953,1,0.8
28188,5.914,0.549,6.234,0.18,0.604,5.954,20.21,0.0,-23.0,-14.0,0.0,-23.0,-14.0,15.1,173.4,330.0,319.85,345.0,321.58,1380.0,864.0,5.29792,16.571717737133294,23.0,-1.0,-1.0,-1.0,0.0,0.023030183876303442,1,0.7
28282,1.704,0.604,4.841,1.28,0.183,5.437,27.71,1.0,21.0,-9.0,1.0,21.0,-9.0,15.875,19.1,359.0,461.3,374.0,456.11,1959.0,2484.0,5.85418,26.66134079502075,16.0,-1.0,-1.0,-1.0,0.0,0.06781945680318462,1,0.7
28354,1.704,0.604,4.841,2.319,0.281,3.873,32.56,7.0,19.0,20.0,7.0,19.0,20.0,6.928,150.0,378.0,449.18,384.0,452.64,1959.0,2291.0,5.09311,16.53515625,16.0,-1.0,-1.0,-1.0,0.0,0.12685262515679804,1,0.9
28489,0.848,0.344,5.935,1.28,0.183,5.437,11.92,27.0,-1.0,11.0,27.0,-1.0,11.0,6.429,141.0,412.0,459.57,417.0,463.61,2635.0,2484.0,5.88002,12.848808894965874,16.0,416.6859375000001,463.18353174603175,5.684341886080802e-14,2.0,0.11773237958001549,1,1.0
28494,1.28,0.183,5.437,6.011,0.784,0.323,48.79,-10.0,9.0,5.0,-10.0,9.0,5.0,23.861,82.8,414.0,487.28,417.0,463.61,2484.0,2500.0,5.86913,19.8608924004518,16.0,416.6859375000001,463.1835317460313,4.582862941503293e-13,2.0,0.26975157463978805,1,0.8
28526,1.704,0.604,4.841,6.011,0.784,0.323,52.15,-12.0,-16.0,-13.0,-12.0,-16.0,-13.0,15.1,6.6,420.0,456.11,435.0,454.37,1959.0,2500.0,4.62491,20.11482870200221,16.0,-1.0,-1.0,-1.0,0.0,0.16923700155066088,1,0.8
28633,1.889,0.677,5.028,5.49,0.79,1.288,8.62,0.0,-17.0,-1.0,0.0,-17.0,-1.0,7.572,22.4,439.0,901.24,446.0,898.36,5146.0,5194.0,4.76365,11.0234375,2.0,453.50421875000006,893.6911706349206,9.116640466106965,2.0,0.5126128658980686,1,1.0
28651,5.048,0.474,0.584,5.56,0.526,1.504,18.24,-9.0,-18.0,16.0,-9.0,-18.0,16.0,7.211,166.1,446.0,908.75,453.0,910.48,5207.0,5217.0,5.91288,12.880427404182743,2.0,-1.0,-1.0,-1.0,0.0,0.257521794203512,1,0.8
28663,1.889,0.677,5.028,0.137,0.3,5.968,59.55,-9.0,18.0,17.0,-9.0,18.0,17.0,10.263,107.0,450.0,877.57,453.0,887.39,5146.0,5134.0,5.74953,11.852689256916978,2.0,453.50421875000006,893.6911706349209,7.100981874297709,2.0,0.41433132745883555,1,0.9
28736,0.062,0.327,6.029,0.137,0.3,5.968,2.11,22.0,-10.0,-7.0,22.0,-10.0,-7.0,7.024,115.3,469.0,896.63,472.0,902.98,5183.0,5134.0,5.3406,12.32381098167559,2.0,-1.0,-1.0,-1.0,0.0,0.17680835726459473,1,0.9
28744,5.048,0.474,0.584,3.359,0.485,2.631,48.43,25.0,-1.0,-16.0,25.0,-1.0,-16.0,22.301,100.3,471.0,903.55,475.0,925.49,5207.0,5158.0,5.22655,15.350024373835037,2.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.7
28864,3.359,0.485,2.631,6.222,0.591,6.074,37.52,19.0,-9.0,-8.0,19.0,-9.0,-8.0,24.028,122.8,504.0,887.96,517.0,908.17,5158.0,5101.0,3.93276,1.100198412698433,1.0,-1.0,-1.0,-1.0,0.0,0.6813132127767801,1,1.0
28933,3.359,0.485,2.631,6.222,0.591,6.074,37.52,19.0,-9.0,-8.0,19.0,-9.0,-8.0,14.0,158.2,520.0,908.75,533.0,913.95,5158.0,5101.0,5.52769,2.463956882731575,1.0,-1.0,-1.0,-1.0,0.0,0.1594596426321461,1,1.0
28967,4.569,0.651,1.966,2.717,0.53,3.83,39.44,-1.0,28.0,-10.0,-1.0,28.0,-10.0,13.013,177.5,526.0,573.89,539.0,574.46,3870.0,3919.0,5.8815,9.98191052572564,10.0,548.8322066326532,575.291504697117,10.933183433212308,2.0,0.6169593483964995,1,0.9
28991,2.717,0.53,3.83,2.066,0.753,3.588,50.69,-1.0,-15.0,25.0,-1.0,-15.0,25.0,12.49,163.9,529.0,579.08,541.0,582.55,3919.0,3959.0,1.99599,10.154734911261182,10.0,549.8743245442708,584.6523127480159,10.079749683870324,1.0,0.6494074648307034,1,0.9
29063,3.346,0.605,2.066,5.517,0.566,1.151,58.68,11.0,20.0,-19.0,11.0,20.0,-19.0,27.055,3.7,544.0,371.81,571.0,370.08,1685.0,1570.0,5.6854,16.52357864832132,19.0,-1.0,-1.0,-1.0,0.0,0.13792033674878015,1,0.7
29083,4.569,0.651,1.966,4.53,0.647,2.029,2.24,15.0,-10.0,-23.0,15.0,-10.0,-23.0,9.866,95.8,547.0,557.14,548.0,566.96,3870.0,3868.0,5.72602,8.801587301587347,10.0,548.8322066326532,575.2915046971177,8.74300351723761,2.0,0.5607319576810921,1,1.0
29130,2.066,0.753,3.588,2.767,0.54,3.761,49.91,1.0,11.0,-17.0,1.0,11.0,-17.0,67.557,172.6,558.0,586.59,625.0,595.25,3959.0,3865.0,5.85134,14.814579168059431,10.0,-1.0,-1.0,-1.0,0.0,0.06955248888634882,1,0.7
29138,2.767,0.54,3.761,4.53,0.647,2.029,40.8,-3.0,-10.0,0.0,-3.0,-10.0,0.0,10.583,19.1,560.0,572.73,570.0,569.27,3865.0,3868.0,5.7835,12.566960644825382,10.0,-1.0,-1.0,-1.0,0.0,0.13464194555001607,1,0.7
29162,1.043,0.738,5.941,3.346,0.605,2.066,22.45,-23.0,6.0,9.0,-23.0,6.0,9.0,18.148,52.7,565.0,401.26,576.0,386.82,1810.0,1685.0,5.86485,10.154734911261267,19.0,-1.0,-1.0,-1.0,0.0,0.2609060283033502,1,1.0
