,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
203,21.51,23.065,4.3,4.64541,15.799636909555076,1.0,20.260676167988105,2.0,1.0,0.9
223,59.4,18.475,90.0,5.57664,15.799636909555076,1.0,-1.0,0.0,1.0,0.9
343,56.69,30.746,24.4,5.68495,8.07107347876895,1.0,-1.0,0.0,1.0,1.0
361,29.0,15.621,153.7,5.88187,11.623211565233802,1.0,2.715494514574981,2.0,1.0,1.0
754,34.76,13.317,145.7,5.74169,15.13469387755103,5.0,0.27621651251701507,2.0,1.0,0.8
795,51.65,17.776,77.0,5.88089,15.187053961661722,5.0,1.151584609395415,2.0,1.0,0.8
823,40.51,30.022,2.2,5.89273,24.259573935599352,8.0,6.059120346505667,2.0,1.0,0.6
872,54.02,39.395,135.3,5.84942,21.44081632653061,8.0,4.991809091932321,2.0,1.0,0.7
874,41.75,32.578,22.9,5.38469,24.481043442504234,8.0,0.0,2.0,1.0,0.6
909,51.52,20.232,92.8,5.17774,10.766881536758467,5.0,4.106998077121364,2.0,1.0,1.0
934,55.25,19.079,5.2,5.31722,10.845962619818375,5.0,4.7990753856083606,2.0,1.0,1.0
935,56.81,10.0,120.0,2.87538,11.623211565233834,5.0,-1.0,0.0,1.0,0.9
987,14.58,11.015,117.0,5.23308,24.259573935599352,8.0,0.0,2.0,1.0,0.6
1054,46.35,9.452,162.2,5.90413,16.811570750148537,8.0,-1.0,0.0,1.0,1.0
1136,48.04,27.055,3.7,5.57604,19.238417498292403,8.0,-1.0,0.0,1.0,0.8
1143,41.23,11.719,20.2,5.58549,17.915111655892908,8.0,-1.0,0.0,1.0,0.9
1187,47.18,31.896,166.4,5.91904,28.74998980184264,8.0,-1.0,0.0,1.0,0.4
1224,24.66,29.956,14.5,5.80031,10.16592650697899,9.0,2.288331281244264,2.0,1.0,0.9
1376,44.67,20.232,152.8,5.35755,13.633206898547044,9.0,-1.0,0.0,1.0,0.8
1406,49.73,21.071,55.3,4.71145,9.181191128517325,9.0,3.8073255094581677,2.0,1.0,1.0
1526,49.04,8.083,150.0,4.30455,12.975622181164168,9.0,-1.0,0.0,1.0,0.9
1790,46.46,29.052,176.6,5.19407,8.918033568933906,4.0,8.295861694150808,2.0,1.0,1.0
1993,46.46,25.716,21.1,5.75935,6.430772084965326,4.0,7.42773422334676,2.0,1.0,1.0
2083,43.19,9.866,155.8,3.99233,4.544402299515649,6.0,-1.0,0.0,1.0,1.0
2148,43.19,17.436,156.6,5.87427,6.430772084965332,6.0,-1.0,0.0,1.0,1.0
2603,45.58,10.263,167.0,5.83073,15.79146291603037,2.0,-1.0,0.0,1.0,1.0
2691,37.93,22.03,3.0,5.67549,17.50900248308222,2.0,-1.0,0.0,1.0,1.0
2848,53.46,16.773,146.6,5.85303,13.399747257804039,3.0,2.901146237218705,2.0,1.0,0.8
2957,49.9,12.22,49.1,4.75837,12.675029413509902,3.0,9.570657388340972,2.0,1.0,0.9
3066,52.34,14.422,46.1,5.74037,10.158751907458909,3.0,-1.0,0.0,1.0,1.0
3148,44.31,9.019,3.7,5.85965,15.18705396166175,3.0,-1.0,0.0,1.0,0.8
3166,44.09,15.011,62.2,5.67475,11.272113755734322,0.0,-1.0,0.0,1.0,1.0
3208,44.09,26.23,67.6,5.6478,7.671531070069316,0.0,-1.0,0.0,1.0,1.0
