# Column 1:    Selected grain boundary location of the input sample
# Column 2:    Void parameter value
# Column 3:    Distance from the grain boundary to the center void
# Column 4:    Void ID
# Column 5:    Sorted GB by distance from the center of the void
# Column 6-7:  Supposed intersections point of GB with void edge, x and y
# Column 8-9:  Supposed GB junction point
# Column 10:   Predicted length of GB continuity (not totally length.) 

4028	1	5.183593750000000	0	1	581.898048265567127	945.563719834020617	-1	-1	-1
2284	0.9	9.170714430321162	1	2	345.380108333745170	918.582198148056591	433.39969017614703	1193.6936173349056	5.1927048999015994
2466	1	8.207776570053754	1	1	338.515267146909707	926.894083933637148	433.39969017614703	1193.6936173349056	10.182898521919826
2533	0.8	12.958984375000000	1	4	341.166228039797488	908.501315880607422	-1	-1	-1
2599	0.8	10.460462949033820	1	3	331.799449504321217	927.000323820987546	436.66842066420674	1197.7730078125	8.393349428390836
1584	0.9	7.894905822299500	2	2	238.260990400679248	602.298734539455268	297.5269855106808	774.9175431837729	8.953400606007552
1677	0.8	14.024184780876707	2	3	238.405262551151708	602.081203527584194	-1	-1	-1
1798	1	6.608218093711700	2	1	228.203153619665329	607.171617423012094	297.5269855106808	774.9175431837728	9.09738508353694
1820	-1	12.230975464564693	2	0	235.276245880886222	605.276245880886222	-1	-1	-1
1832	-1	7.787822878228781	2	0	235.000000000000000	605.457272334029540	-1	-1	-1
1833	0.9	14.024184780876707	2	4	221.311876323835207	604.144492270239652	-1	-1	-1
6533	0.9	15.618626486383153	3	3	982.798006751464641	500.296760971130027	1272.4830593760482	643.2074085582385	15.741825746960734
6576	-1	10.464315753844577	3	0	984.968878934913505	499.984439467456752	-1	-1	-1
6595	-1	10.451981779279684	3	0	985.812036283788075	488.362407256757649	-1	-1	-1
6602	-1	6.617970755068464	3	0	985.298568634754133	488.134287576830559	-1	-1	-1
6638	1	6.617970755068464	3	1	977.364096581420540	496.815420511476816	-1	-1	-1
6639	-1	3.893911439114390	3	0	987.905633478538107	497.952816739269053	-1	-1	-1
6654	-1	5.802848343720707	3	0	980.217391971192114	499.652175913576457	-1	-1	-1
6689	1	7.336571544256994	3	2	976.873511059365228	495.468377764841307	1272.4830593760482	643.2074085582386	8.878072888173056
1914	0.7	20.500573971335978	6	5	275.862087761267730	434.061577697233417	349.63928164982593	561.8991402599299	10.89658994689355
1985	1	13.347125448580240	6	2	270.515711464927620	432.710002193945172	349.63928164982593	561.8991402599298	7.187780230598173
1987	0.8	15.826778477459158	6	4	278.768694315575146	456.000000000000000	-1	-1	-1
1995	-1	13.235941510137096	6	0	283.148764200486653	444.000000000000000	-1	-1	-1
2008	-1	9.448230097977611	6	0	273.758026398601544	458.758026398601544	-1	-1	-1
2030	-1	15.119042999282652	6	0	281.189396062854200	453.189396062854200	-1	-1	-1
2031	-1	19.789723796179480	6	0	272.808914381037596	433.000000000000000	-1	-1	-1
2032	-1	10.702334440537118	6	0	283.148764200486653	444.000000000000000	-1	-1	-1
2049	-1	16.243517758809869	6	0	275.544577360923142	458.089154721846285	-1	-1	-1
2050	-1	11.958609464081020	6	0	263.000000000000000	457.308846094982471	-1	-1	-1
2051	-1	14.493221180473379	6	0	278.768694315575146	456.000000000000000	-1	-1	-1
2057	-1	8.704272515580959	6	0	269.135951713168652	432.728096573662697	-1	-1	-1
2058	-1	6.988246932950192	6	0	283.148764200486653	444.000000000000000	-1	-1	-1
2059	-1	10.127925924194248	6	0	281.869709347747289	452.000000000000000	-1	-1	-1
2065	-1	10.127925924194248	6	0	265.000000000000000	433.675633890540269	-1	-1	-1
2066	-1	1.834142886064249	6	0	283.060042918383431	443.484989270404128	-1	-1	-1
2077	-1	13.216436187423399	6	0	278.768694315575146	436.000000000000000	-1	-1	-1
2078	-1	15.604855810020693	6	0	275.734980383575873	458.000000000000000	-1	-1	-1
2088	-1	9.435422339258203	6	0	281.566145818372888	452.566145818372888	-1	-1	-1
2094	-1	8.197292774817701	6	0	268.000000000000000	459.148764200486653	-1	-1	-1
2095	-1	9.435422339258203	6	0	271.126119796023261	432.747760407953535	-1	-1	-1
2101	1	13.216436187423399	6	1	259.152333852082450	453.695332295835158	340.3504331782449	579.9990658967391	16.761725365243077
2102	-1	11.735088450953210	6	0	282.511462858991990	450.511462858991990	-1	-1	-1
2103	-1	2.591796875000000	6	0	283.148764200486653	444.000000000000000	-1	-1	-1
2110	-1	7.882983365295330	6	0	280.468838121229794	454.203257181844663	-1	-1	-1
2111	-1	6.479492187500000	6	0	282.324366109459731	441.000000000000000	-1	-1	-1
2121	-1	6.479492187500000	6	0	276.566145818372888	434.433854181627112	-1	-1	-1
2122	-1	5.343629060032523	6	0	281.566145818372888	452.566145818372888	-1	-1	-1
2131	-1	9.163678989446167	6	0	271.000000000000000	432.737647267547118	-1	-1	-1
2132	-1	15.604855810020693	6	0	275.734980383575873	458.000000000000000	-1	-1	-1
2142	-1	7.559521499641326	6	0	282.324366109459731	441.000000000000000	-1	-1	-1
2145	-1	9.170714430321162	6	0	278.108482912911711	435.457585435441331	-1	-1	-1
2153	-1	8.305891181544959	6	0	281.741503124622852	452.247167708207598	-1	-1	-1
2159	-1	8.207776570053754	6	0	283.203213824612988	447.601606912306522	-1	-1	-1
2171	-1	10.702334440537063	6	0	283.148764200486653	448.000000000000000	-1	-1	-1
2173	-1	11.965798247599402	6	0	279.000000000000000	455.792343948207701	-1	-1	-1
2174	-1	11.965798247599402	6	0	283.128564740499996	443.871435259500004	-1	-1	-1
2175	-1	13.044235867954242	6	0	283.128564740499996	448.128564740499996	-1	-1	-1
