,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
240,40.38,12.49,163.9,5.20838,6.628446074535437,16.0,1.6271029647499302,2,0.2660195147655218,1,1.0
273,9.19,30.746,95.6,4.10089,7.245024839279881,16.0,1.256856823825352,2,0.11965389969779862,1,0.9
293,37.26,7.211,166.1,5.84049,5.375334213775572,16.0,-1.0,0,0.15163338187450748,1,1.0
419,58.94,27.055,176.3,5.83614,7.245024839279885,12.0,-1.0,0,0.0,1,1.0
547,42.8,15.011,177.8,5.77839,6.628446074535437,12.0,-1.0,0,0.0,1,1.0
713,22.88,17.01,100.2,4.34425,8.352527421153708,1.0,-1.0,0,0.6810889489022598,1,1.0
722,27.5,33.843,132.8,5.63792,8.352527421153708,1.0,-1.0,0,0.0,1,1.0
1464,44.83,16.773,33.4,5.34109,7.261177939068755,9.0,1.1368683772161603e-13,2,0.19449320948050683,1,0.8
1495,59.83,15.144,97.6,3.86594,6.853943107256309,9.0,-1.0,0,0.3142848089725474,1,0.9
1502,41.12,8.083,8.2,4.98376,1.200542628368011,9.0,1.6077746776921858e-13,2,0.2624101818885494,1,1.0
1526,43.49,7.211,46.1,4.76674,19.361430909768938,14.0,23.968684750535306,2,0.5903616933629386,1,0.8
1544,50.16,37.541,148.5,4.95724,10.247467609461852,14.0,-1.0,0,0.3252861653204915,1,1.0
1545,41.12,10.392,150.0,2.73832,9.02582682026313,9.0,-1.0,0,0.1353082498107874,1,0.8
1646,45.47,25.716,21.1,5.7402,12.94944338452692,14.0,-1.0,0,0.13932012078121392,1,0.9
1656,20.56,26.102,136.7,5.15046,10.514143988551664,14.0,5.774186588950457,2,0.34468130032843347,1,1.0
2336,35.75,15.011,150.0,5.81129,1.899907117630465,13.0,0.0,,0.3045186628397014,1,0.9
2361,47.26,35.796,107.9,5.7643,7.651490066225165,8.0,7.2321698140137824,2,0.5145654479118994,1,1.0
2363,50.58,16.371,47.8,5.79617,10.867848306622118,8.0,2.1205861319828005,2,0.21460891433776805,1,0.9
2367,52.99,19.009,1.7,4.38152,0.84765625,13.0,1.0463576158939532,,0.49459365865178534,1,1.0
2368,50.77,13.013,122.5,5.90968,2.54296875,13.0,1.2633603301979321,1,0.2772186914031144,1,0.9
2429,56.48,16.042,115.9,3.84165,8.485604574786027,15.0,-1.0,0,1.0,1,1.0
2440,54.06,17.776,103.0,5.76467,15.57198466745785,8.0,8.239133504901417,2,0.2381404336075542,1,0.8
2444,37.61,31.241,26.3,5.83662,10.750668427551062,8.0,4.958456559950383,2,0.3548861736425484,1,0.9
2581,43.86,25.06,4.0,5.87106,1.200542628368051,10.0,-1.0,0,0.33670401252611365,1,1.0
2586,40.02,12.166,34.7,5.78032,2.54296875,10.0,-1.0,0,0.04225535948717253,1,0.8
2685,51.82,9.866,144.2,5.89369,1.700331125827802,11.0,-1.0,0,0.38433139838217123,1,1.0
2700,42.14,18.148,52.7,5.89859,1.200542628367971,10.0,0.6433660902591417,2,0.44603714809054795,1,1.0
2701,36.55,24.194,138.1,5.48152,1.8965405234323,10.0,0.5166971973189329,2,0.11295160810140621,1,0.9
2813,52.85,13.115,67.6,5.82608,2.681318994047738,11.0,-1.0,0,0.3468708932257557,1,0.8
2818,34.2,10.583,40.9,5.91145,2.401085256736022,11.0,1.762762632510137,2,0.43686592936564567,1,0.9
2819,25.93,19.079,114.8,5.88535,3.059054756119184,11.0,3.340617299252691,2,0.43384964130368814,1,0.8
