,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
57,17.36,14.468,94.0,5.80211,52.28512464753976,-1.0,-1.0,-1.0,-1.0,0.0,0.0
58,46.39,5.292,100.9,3.96058,74.95558899147068,-1.0,-1.0,-1.0,-1.0,0.0,0.0
59,55.48,12.166,85.3,5.86417,66.00566961462877,-1.0,-1.0,-1.0,-1.0,0.0,0.0
60,37.64,23.692,92.4,5.64405,95.24699161529037,-1.0,-1.0,-1.0,-1.0,0.0,0.0
61,49.09,2.0,60.0,4.32969,82.118545870781,-1.0,-1.0,-1.0,-1.0,0.0,0.0
62,31.83,5.292,79.1,4.27025,131.6610518468162,-1.0,-1.0,-1.0,-1.0,0.0,0.0
63,49.95,9.238,90.0,5.59219,139.1319040324918,-1.0,-1.0,-1.0,-1.0,0.0,0.0
64,50.23,6.429,98.9,5.62666,154.34720701600642,-1.0,-1.0,-1.0,-1.0,0.0,0.0
65,19.17,12.166,85.3,5.91944,163.89658940926262,-1.0,-1.0,-1.0,-1.0,0.0,0.0
66,54.54,35.233,91.6,5.87901,188.37296176195161,-1.0,-1.0,-1.0,-1.0,0.0,0.0
67,51.99,3.055,70.9,5.74424,208.07756849188655,-1.0,-1.0,-1.0,-1.0,0.0,0.0
68,36.37,15.621,93.7,5.87033,217.63268065424492,-1.0,-1.0,-1.0,-1.0,0.0,0.0
69,30.28,9.866,95.8,5.88046,238.52693041824173,-1.0,-1.0,-1.0,-1.0,0.0,0.0
70,43.94,7.572,82.4,5.40781,229.57148318563512,-1.0,-1.0,-1.0,-1.0,0.0,0.0
71,57.65,15.62,86.3,5.75048,244.22859928056988,-1.0,-1.0,-1.0,-1.0,0.0,0.0
72,26.12,1.155,150.0,5.81315,242.05089924684475,-1.0,-1.0,-1.0,-1.0,0.0,0.0
73,47.69,9.866,84.2,4.01304,240.79448615792901,-1.0,-1.0,-1.0,-1.0,0.0,0.0
74,53.38,12.702,90.0,5.88984,238.97526586502255,-1.0,-1.0,-1.0,-1.0,0.0,0.0
75,49.46,22.539,92.5,5.84372,235.8113940206263,-1.0,-1.0,-1.0,-1.0,0.0,0.0
76,43.08,5.292,79.1,4.88092,234.7169626357541,-1.0,-1.0,-1.0,-1.0,0.0,0.0
77,21.38,19.079,93.0,5.70819,234.98601219622049,-1.0,-1.0,-1.0,-1.0,0.0,0.0
78,22.3,5.291,79.1,5.68378,235.92217753234638,-1.0,-1.0,-1.0,-1.0,0.0,0.0
79,17.16,16.166,90.0,4.41614,237.80573746683916,-1.0,-1.0,-1.0,-1.0,0.0,0.0
80,34.4,6.429,98.9,5.74998,239.2819470267562,-1.0,-1.0,-1.0,-1.0,0.0,0.0
81,54.93,12.166,94.7,5.4274,232.334237437799,-1.0,-1.0,-1.0,-1.0,0.0,0.0
82,51.35,7.572,82.4,4.34695,240.77833040433313,-1.0,-1.0,-1.0,-1.0,0.0,0.0
83,21.79,4.619,90.0,4.15535,205.7887253030434,-1.0,-1.0,-1.0,-1.0,0.0,0.0
84,54.43,5.292,79.1,4.54541,210.35339308388487,-1.0,-1.0,-1.0,-1.0,0.0,0.0
85,39.9,11.015,95.2,3.8874,198.09420774448233,-1.0,-1.0,-1.0,-1.0,0.0,0.0
86,38.67,2.0,60.0,5.31777,185.39760693254334,-1.0,-1.0,-1.0,-1.0,0.0,0.0
87,26.63,8.083,90.0,5.91061,177.68389714093524,-1.0,-1.0,-1.0,-1.0,0.0,0.0
88,14.29,3.464,90.0,4.91215,172.26533067970337,-1.0,-1.0,-1.0,-1.0,0.0,0.0
89,22.23,26.0,92.2,5.88001,158.38958768202204,-1.0,-1.0,-1.0,-1.0,0.0,0.0
90,42.49,29.462,88.1,5.72495,133.61831445230214,-1.0,-1.0,-1.0,-1.0,0.0,0.0
91,50.25,12.166,94.7,5.57042,116.21616044440778,-1.0,-1.0,-1.0,-1.0,0.0,0.0
92,44.43,18.475,90.0,4.91207,86.40331740150532,-1.0,-1.0,-1.0,-1.0,0.0,0.0
93,40.32,28.308,88.0,5.28547,100.82125543699385,-1.0,-1.0,-1.0,-1.0,0.0,0.0
94,47.25,24.249,90.0,5.78034,77.14949587897165,-1.0,-1.0,-1.0,-1.0,0.0,0.0
95,44.69,1.155,150.0,5.87195,73.78930330292158,-1.0,-1.0,-1.0,-1.0,0.0,0.0
96,41.02,15.621,93.7,5.88732,77.1693713163263,-1.0,-1.0,-1.0,-1.0,0.0,0.0
97,45.56,26.0,87.8,5.87443,73.13386852701237,-1.0,-1.0,-1.0,-1.0,0.0,0.0
98,40.94,14.468,86.0,5.89701,84.0549542953336,-1.0,-1.0,-1.0,-1.0,0.0,0.0
99,50.96,4.163,103.9,5.89507,89.85855183438663,-1.0,-1.0,-1.0,-1.0,0.0,0.0
100,18.22,8.718,83.4,5.70597,93.83415891086686,-1.0,-1.0,-1.0,-1.0,0.0,0.0
101,30.35,8.718,96.6,5.85189,102.17447697587781,-1.0,-1.0,-1.0,-1.0,0.0,0.0
102,28.27,9.866,84.2,5.87917,109.06539109288212,-1.0,-1.0,-1.0,-1.0,0.0,0.0
103,53.76,17.926,93.2,5.57743,120.08855873969134,-1.0,-1.0,-1.0,-1.0,0.0,0.0
104,40.05,23.692,92.4,5.87713,151.68122854982144,-1.0,-1.0,-1.0,-1.0,0.0,0.0
105,57.26,12.166,85.3,5.81677,135.75122240652465,-1.0,-1.0,-1.0,-1.0,0.0,0.0
106,45.35,15.62,86.3,5.66058,169.75412751402877,-1.0,-1.0,-1.0,-1.0,0.0,0.0
107,47.29,14.468,94.0,4.4983,183.88745101751292,-1.0,-1.0,-1.0,-1.0,0.0,0.0
108,56.01,13.317,94.3,4.3146,202.12346809786575,-1.0,-1.0,-1.0,-1.0,0.0,0.0
109,35.85,5.291,79.1,5.34536,193.24455413082723,-1.0,-1.0,-1.0,-1.0,0.0,0.0
110,23.87,18.475,90.0,2.32958,231.78655611600988,-1.0,-1.0,-1.0,-1.0,0.0,0.0
111,53.92,14.468,86.0,5.85297,215.5455485735516,-1.0,-1.0,-1.0,-1.0,0.0,0.0
112,16.09,17.926,93.2,5.87921,249.5396947389938,-1.0,-1.0,-1.0,-1.0,0.0,0.0
113,21.91,9.866,84.2,5.91594,270.17156485301075,-1.0,-1.0,-1.0,-1.0,0.0,0.0
114,29.68,14.468,94.0,5.17202,282.2642137930713,-1.0,-1.0,-1.0,-1.0,0.0,0.0
115,50.4,3.464,90.0,4.6962,303.48949508916877,-1.0,-1.0,-1.0,-1.0,0.0,0.0
116,33.06,12.166,85.3,5.54014,295.5464990050714,-1.0,-1.0,-1.0,-1.0,0.0,0.0
117,23.31,1.155,30.0,5.8301,2.7407595894819874,-1.0,-1.0,-1.0,-1.0,0.0,0.0
118,32.7,3.055,169.1,5.69321,49.39132533605159,-1.0,-1.0,-1.0,-1.0,0.0,0.0
119,37.84,9.165,70.9,5.49976,54.1574725736457,-1.0,-1.0,-1.0,-1.0,0.0,0.0
120,58.13,8.718,156.6,5.88891,78.46174917599176,-1.0,-1.0,-1.0,-1.0,0.0,0.0
121,54.54,1.155,90.0,4.57852,86.62183348966943,-1.0,-1.0,-1.0,-1.0,0.0,0.0
122,48.62,15.144,142.4,5.79807,81.3301693025622,-1.0,-1.0,-1.0,-1.0,0.0,0.0
123,47.09,3.055,49.1,5.90019,52.572396597584,-1.0,-1.0,-1.0,-1.0,0.0,0.0
124,10.46,6.928,150.0,5.64551,16.176769924051314,-1.0,-1.0,-1.0,-1.0,0.0,0.0
125,57.93,6.928,90.0,5.90498,5.174652142555968,17.0,-1.0,0.0,0.22052369319091472,1.0,1.0
126,33.42,3.055,49.1,5.91602,6.0820018091809365,-1.0,-1.0,-1.0,-1.0,0.0,0.0
127,34.29,4.619,90.0,5.21112,40.634099612003844,-1.0,-1.0,-1.0,-1.0,0.0,0.0
128,40.66,18.583,36.2,5.90352,33.01544858999022,-1.0,-1.0,-1.0,-1.0,0.0,0.0
129,35.46,15.1,173.4,5.71153,44.233453418595055,-1.0,-1.0,-1.0,-1.0,0.0,0.0
130,49.83,10.066,126.6,5.82973,63.87417307594948,-1.0,-1.0,-1.0,-1.0,0.0,0.0
131,22.78,3.464,90.0,5.39091,79.41585184821822,-1.0,-1.0,-1.0,-1.0,0.0,0.0
132,58.69,2.0,180.0,5.91114,77.60142122335523,-1.0,-1.0,-1.0,-1.0,0.0,0.0
133,53.03,3.055,49.1,5.86262,79.9953401180661,-1.0,-1.0,-1.0,-1.0,0.0,0.0
134,47.22,6.429,141.0,3.4335,109.54153788965364,-1.0,-1.0,-1.0,-1.0,0.0,0.0
135,51.26,20.785,90.0,5.46733,118.21973566997153,-1.0,-1.0,-1.0,-1.0,0.0,0.0
136,47.21,5.291,19.1,5.77438,128.05317714940008,-1.0,-1.0,-1.0,-1.0,0.0,0.0
137,15.69,21.572,38.0,3.74121,143.73307950278198,-1.0,-1.0,-1.0,-1.0,0.0,0.0
138,46.44,22.301,160.3,4.29895,161.72720051801042,-1.0,-1.0,-1.0,-1.0,0.0,0.0
139,46.44,27.006,1.2,5.89052,168.47120266453973,-1.0,-1.0,-1.0,-1.0,0.0,0.0
140,30.84,69.895,13.4,5.80736,200.9655872746119,-1.0,-1.0,-1.0,-1.0,0.0,0.0
141,37.96,70.086,177.2,4.90246,214.8422072595187,-1.0,-1.0,-1.0,-1.0,0.0,0.0
142,39.25,8.083,90.0,5.837,247.4003661118324,-1.0,-1.0,-1.0,-1.0,0.0,0.0
143,42.72,14.422,106.1,5.85639,241.99126226483287,-1.0,-1.0,-1.0,-1.0,0.0,0.0
144,31.77,4.619,30.0,4.79056,239.76204994911595,-1.0,-1.0,-1.0,-1.0,0.0,0.0
145,37.31,19.079,5.2,5.49586,224.67077972117366,-1.0,-1.0,-1.0,-1.0,0.0,0.0
146,37.31,13.856,150.0,2.57768,208.49617575551378,-1.0,-1.0,-1.0,-1.0,0.0,0.0
147,27.48,6.928,90.0,5.83934,234.3157607408369,-1.0,-1.0,-1.0,-1.0,0.0,0.0
148,35.68,11.547,150.0,5.68472,229.0161771111412,-1.0,-1.0,-1.0,-1.0,0.0,0.0
149,40.79,8.327,163.9,5.49034,231.13404640218886,-1.0,-1.0,-1.0,-1.0,0.0,0.0
150,21.06,10.066,6.6,5.73641,234.24416088087156,-1.0,-1.0,-1.0,-1.0,0.0,0.0
151,48.14,1.155,90.0,5.00847,225.65884428515733,-1.0,-1.0,-1.0,-1.0,0.0,0.0
152,19.81,15.144,37.6,5.87557,228.87431373921507,-1.0,-1.0,-1.0,-1.0,0.0,0.0
153,48.14,10.392,90.0,5.00847,217.75786025294693,-1.0,-1.0,-1.0,-1.0,0.0,0.0
154,18.6,23.58,167.3,5.80904,206.36434222938783,-1.0,-1.0,-1.0,-1.0,0.0,0.0
155,40.64,6.928,90.0,5.69958,189.32236823520242,-1.0,-1.0,-1.0,-1.0,0.0,0.0
156,8.36,24.576,20.6,5.87614,192.71884737539057,-1.0,-1.0,-1.0,-1.0,0.0,0.0
157,42.43,25.716,21.1,5.90085,186.04497133967612,-1.0,-1.0,-1.0,-1.0,0.0,0.0
158,59.54,19.079,147.0,5.91383,174.58202755522174,-1.0,-1.0,-1.0,-1.0,0.0,0.0
159,38.12,6.928,30.0,5.85452,146.40490555601693,-1.0,-1.0,-1.0,-1.0,0.0,0.0
160,44.91,19.425,168.0,5.85142,103.23731051935792,-1.0,-1.0,-1.0,-1.0,0.0,0.0
161,35.64,19.009,1.7,5.69313,63.54626319616079,-1.0,-1.0,-1.0,-1.0,0.0,0.0
162,41.98,1.155,90.0,5.51044,79.90570866192928,-1.0,-1.0,-1.0,-1.0,0.0,0.0
163,40.62,7.024,4.7,4.96006,76.2413000999702,-1.0,-1.0,-1.0,-1.0,0.0,0.0
164,59.69,15.874,139.1,5.70457,77.18234494412823,-1.0,-1.0,-1.0,-1.0,0.0,0.0
165,59.95,15.144,37.6,5.81611,82.83492028238238,-1.0,-1.0,-1.0,-1.0,0.0,0.0
166,43.11,24.576,20.6,5.85977,93.68732842363846,-1.0,-1.0,-1.0,-1.0,0.0,0.0
167,60.46,3.464,90.0,5.71396,128.73702939074204,-1.0,-1.0,-1.0,-1.0,0.0,0.0
168,11.56,28.589,11.7,5.73138,116.98497037804351,-1.0,-1.0,-1.0,-1.0,0.0,0.0
169,11.56,7.211,106.1,4.13988,110.653524020355,-1.0,-1.0,-1.0,-1.0,0.0,0.0
170,40.78,30.089,4.4,5.90739,121.18832599446795,-1.0,-1.0,-1.0,-1.0,0.0,0.0
171,49.76,23.352,170.0,5.69734,159.24677770201438,-1.0,-1.0,-1.0,-1.0,0.0,0.0
172,41.72,22.271,8.9,5.76142,184.8297538293329,-1.0,-1.0,-1.0,-1.0,0.0,0.0
173,20.0,17.243,9.6,4.2997,204.03932725759017,-1.0,-1.0,-1.0,-1.0,0.0,0.0
174,20.0,13.115,52.4,5.62617,193.73667329020978,-1.0,-1.0,-1.0,-1.0,0.0,0.0
175,35.44,6.928,90.0,5.28567,261.6993626128008,-1.0,-1.0,-1.0,-1.0,0.0,0.0
176,30.94,3.464,150.0,4.74998,258.68608330601904,-1.0,-1.0,-1.0,-1.0,0.0,0.0
177,15.75,6.0,60.0,2.81479,262.133810028974,-1.0,-1.0,-1.0,-1.0,0.0,0.0
178,52.19,6.429,21.1,3.80633,287.4247577245679,-1.0,-1.0,-1.0,-1.0,0.0,0.0
179,32.93,22.301,160.3,5.81499,14.68878033738441,-1.0,-1.0,-1.0,-1.0,0.0,0.0
180,14.15,17.088,65.8,5.66805,88.32278694316503,-1.0,-1.0,-1.0,-1.0,0.0,0.0
181,26.73,22.121,6.0,5.23375,236.33359311718007,-1.0,-1.0,-1.0,-1.0,0.0,0.0
182,26.73,29.462,151.9,5.59322,211.03298471570102,-1.0,-1.0,-1.0,-1.0,0.0,0.0
183,47.88,16.0,60.0,5.71446,61.06437117108186,-1.0,-1.0,-1.0,-1.0,0.0,0.0
184,15.1,38.575,141.0,5.78753,44.050819941436906,-1.0,-1.0,-1.0,-1.0,0.0,0.0
185,30.92,8.0,60.0,5.77254,10.968564692777582,-1.0,-1.0,-1.0,-1.0,0.0,0.0
186,17.43,10.263,133.0,4.15451,4.906356667701568,-1.0,-1.0,-1.0,-1.0,0.0,0.0
187,34.7,1.155,90.0,5.8483,78.19432617187499,-1.0,-1.0,-1.0,-1.0,0.0,0.0
188,50.48,10.066,66.6,5.28256,72.8512490776705,-1.0,-1.0,-1.0,-1.0,0.0,0.0
189,41.58,26.907,14.9,5.04785,76.40766621060196,-1.0,-1.0,-1.0,-1.0,0.0,0.0
190,45.32,16.773,33.4,4.24667,46.474508875934895,-1.0,-1.0,-1.0,-1.0,0.0,0.0
192,16.56,3.055,49.1,5.65353,257.703045162097,-1.0,-1.0,-1.0,-1.0,0.0,0.0
193,20.84,38.0,166.8,5.77166,218.3837312247602,-1.0,-1.0,-1.0,-1.0,0.0,0.0
197,45.68,12.166,145.3,4.59855,8.529076045550735,17.0,-1.0,0.0,0.0,1.0,0.8
198,59.48,15.011,90.0,5.10859,119.43134171087664,-1.0,-1.0,-1.0,-1.0,0.0,0.0
199,34.01,33.307,16.1,4.59007,108.65538910600326,-1.0,-1.0,-1.0,-1.0,0.0,0.0
200,28.92,15.144,142.4,5.90751,132.25954039161996,-1.0,-1.0,-1.0,-1.0,0.0,0.0
201,53.96,50.478,35.7,5.76113,236.58175305750157,-1.0,-1.0,-1.0,-1.0,0.0,0.0
202,53.96,34.02,1.9,5.70755,216.342760970043,-1.0,-1.0,-1.0,-1.0,0.0,0.0
203,57.84,18.903,162.2,5.87744,256.89612986352915,-1.0,-1.0,-1.0,-1.0,0.0,0.0
204,20.86,24.98,16.1,5.20516,24.426830155883255,-1.0,-1.0,-1.0,-1.0,0.0,0.0
205,13.97,17.436,23.4,5.77645,65.6539848317654,-1.0,-1.0,-1.0,-1.0,0.0,0.0
206,10.54,27.301,68.5,5.91747,156.27926081762476,-1.0,-1.0,-1.0,-1.0,0.0,0.0
207,31.2,18.037,3.7,5.88264,143.12178964542395,-1.0,-1.0,-1.0,-1.0,0.0,0.0
208,9.8,29.143,54.3,5.91153,271.63735794302846,-1.0,-1.0,-1.0,-1.0,0.0,0.0
209,58.46,10.263,133.0,5.83948,288.4964382419221,-1.0,-1.0,-1.0,-1.0,0.0,0.0
210,17.93,15.144,82.4,5.80396,68.78137196958991,-1.0,-1.0,-1.0,-1.0,0.0,0.0
211,17.93,28.0,21.8,5.90995,51.03535081232706,-1.0,-1.0,-1.0,-1.0,0.0,0.0
212,52.4,9.866,144.2,4.13275,70.59927437438812,-1.0,-1.0,-1.0,-1.0,0.0,0.0
213,54.72,26.23,172.4,5.1887,85.20004621597161,-1.0,-1.0,-1.0,-1.0,0.0,0.0
214,17.37,22.301,100.3,5.19787,226.5363858591373,-1.0,-1.0,-1.0,-1.0,0.0,0.0
215,27.73,9.866,35.8,3.92556,222.7119168833978,-1.0,-1.0,-1.0,-1.0,0.0,0.0
216,45.36,15.1,173.4,5.91238,8.784151960023435,17.0,-1.0,0.0,0.0,1.0,0.8
217,50.85,5.292,79.1,4.16079,71.32523017390115,-1.0,-1.0,-1.0,-1.0,0.0,0.0
218,34.54,9.866,155.8,4.72605,67.26043255826426,-1.0,-1.0,-1.0,-1.0,0.0,0.0
219,34.54,17.01,19.8,5.63352,67.74462601818912,-1.0,-1.0,-1.0,-1.0,0.0,0.0
220,12.75,16.166,111.8,5.65709,220.9424927059648,-1.0,-1.0,-1.0,-1.0,0.0,0.0
221,28.93,13.013,2.5,5.86158,217.10437140979863,-1.0,-1.0,-1.0,-1.0,0.0,0.0
222,40.31,11.719,99.8,5.60354,229.38935941539128,-1.0,-1.0,-1.0,-1.0,0.0,0.0
223,27.38,3.055,49.1,3.0167,227.7898755774725,-1.0,-1.0,-1.0,-1.0,0.0,0.0
224,50.85,1.155,90.0,4.368,76.55649142504566,-1.0,-1.0,-1.0,-1.0,0.0,0.0
225,40.32,13.013,2.5,5.22259,78.62808018804817,-1.0,-1.0,-1.0,-1.0,0.0,0.0
226,40.32,12.166,145.3,5.86661,73.0632955607296,-1.0,-1.0,-1.0,-1.0,0.0,0.0
227,39.01,29.484,161.7,5.88936,213.43931706438704,-1.0,-1.0,-1.0,-1.0,0.0,0.0
228,39.01,26.633,47.5,3.86621,189.0125488453904,-1.0,-1.0,-1.0,-1.0,0.0,0.0
229,26.87,21.939,150.0,5.57343,222.0285589222605,-1.0,-1.0,-1.0,-1.0,0.0,0.0
230,38.07,2.0,180.0,5.89892,74.1663653650669,-1.0,-1.0,-1.0,-1.0,0.0,0.0
231,29.09,10.392,90.0,5.79473,296.7949000914743,-1.0,-1.0,-1.0,-1.0,0.0,0.0
232,42.17,35.553,17.0,5.84304,283.1579027715002,-1.0,-1.0,-1.0,-1.0,0.0,0.0
233,40.3,6.429,81.1,5.14308,70.96247570244816,-1.0,-1.0,-1.0,-1.0,0.0,0.0
234,58.89,23.18,112.8,5.81465,77.28646479198545,-1.0,-1.0,-1.0,-1.0,0.0,0.0
235,48.36,4.619,90.0,4.26676,27.922934182666317,-1.0,-1.0,-1.0,-1.0,0.0,0.0
236,19.47,21.071,55.3,5.81651,23.656254401447892,-1.0,-1.0,-1.0,-1.0,0.0,0.0
237,40.83,7.211,133.9,3.68024,33.621066567335134,-1.0,-1.0,-1.0,-1.0,0.0,0.0
238,35.73,13.115,67.6,5.7284,41.70896382110328,-1.0,-1.0,-1.0,-1.0,0.0,0.0
239,35.15,17.088,114.2,5.59233,55.5192118716266,-1.0,-1.0,-1.0,-1.0,0.0,0.0
240,29.31,39.311,27.1,5.8625,48.5056543832329,-1.0,-1.0,-1.0,-1.0,0.0,0.0
241,38.11,14.0,21.8,5.611,211.40485473821457,-1.0,-1.0,-1.0,-1.0,0.0,0.0
242,52.22,13.614,17.3,5.91123,166.48917234825686,-1.0,-1.0,-1.0,-1.0,0.0,0.0
243,59.61,8.083,90.0,5.54046,40.87805046997275,-1.0,-1.0,-1.0,-1.0,0.0,0.0
244,59.61,10.392,150.0,5.64484,32.623381967175916,-1.0,-1.0,-1.0,-1.0,0.0,0.0
245,59.61,20.232,27.2,5.70671,29.149793159804243,-1.0,-1.0,-1.0,-1.0,0.0,0.0
246,20.45,28.355,17.8,5.03031,48.95105600293762,-1.0,-1.0,-1.0,-1.0,0.0,0.0
247,30.19,11.136,171.1,5.88288,139.23292328024235,-1.0,-1.0,-1.0,-1.0,0.0,0.0
248,40.3,50.332,113.4,5.87691,70.33090908618436,-1.0,-1.0,-1.0,-1.0,0.0,0.0
249,40.47,23.861,37.2,5.89559,97.40599334555641,-1.0,-1.0,-1.0,-1.0,0.0,0.0
250,46.68,28.844,46.1,5.74417,47.57997560573105,-1.0,-1.0,-1.0,-1.0,0.0,0.0
251,28.0,22.745,134.7,5.83908,44.61924888577735,-1.0,-1.0,-1.0,-1.0,0.0,0.0
252,47.7,32.517,169.8,5.90996,40.610668556288495,-1.0,-1.0,-1.0,-1.0,0.0,0.0
253,49.44,9.018,116.3,5.90892,29.717920913433563,-1.0,-1.0,-1.0,-1.0,0.0,0.0
254,36.76,9.018,56.3,5.85323,27.82370183799193,-1.0,-1.0,-1.0,-1.0,0.0,0.0
255,44.71,10.263,133.0,5.74198,69.1876444359476,-1.0,-1.0,-1.0,-1.0,0.0,0.0
