,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
0,22.27,2.0,180.0,5.52334,426.9916244880765,-1.0,-1.0,-1.0,-1.0,0.0,0.0
1,45.14,1.155,150.0,5.87116,426.8282387360278,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2,54.82,1.155,30.0,5.84804,395.32815328971907,-1.0,-1.0,-1.0,-1.0,0.0,0.0
3,23.44,1.155,30.0,5.84856,385.16631912777666,-1.0,-1.0,-1.0,-1.0,0.0,0.0
4,48.88,1.155,150.0,5.88097,347.5362074181827,-1.0,-1.0,-1.0,-1.0,0.0,0.0
5,60.44,1.155,150.0,5.90913,314.4715867421411,-1.0,-1.0,-1.0,-1.0,0.0,0.0
6,47.94,1.155,150.0,5.84572,294.8186755990589,-1.0,-1.0,-1.0,-1.0,0.0,0.0
7,30.34,1.155,150.0,5.69906,275.5328318096504,-1.0,-1.0,-1.0,-1.0,0.0,0.0
8,45.72,1.155,30.0,5.16953,254.92014196589258,-1.0,-1.0,-1.0,-1.0,0.0,0.0
9,19.51,1.155,30.0,5.44691,229.65194747138747,-1.0,-1.0,-1.0,-1.0,0.0,0.0
10,24.37,1.155,30.0,5.89669,204.5446009360399,-1.0,-1.0,-1.0,-1.0,0.0,0.0
11,45.0,1.155,150.0,4.13677,159.66956712009966,-1.0,-1.0,-1.0,-1.0,0.0,0.0
12,28.64,1.155,150.0,5.86072,144.49872877809594,-1.0,-1.0,-1.0,-1.0,0.0,0.0
13,41.35,1.155,150.0,3.80755,132.53085711172935,-1.0,-1.0,-1.0,-1.0,0.0,0.0
14,59.76,1.155,150.0,5.60951,117.86717908794775,-1.0,-1.0,-1.0,-1.0,0.0,0.0
15,49.13,1.155,30.0,5.90589,105.04995099652433,-1.0,-1.0,-1.0,-1.0,0.0,0.0
16,42.21,1.155,150.0,5.29171,79.9862849211175,-1.0,-1.0,-1.0,-1.0,0.0,0.0
17,43.39,1.155,150.0,4.9401,58.21496406965976,-1.0,-1.0,-1.0,-1.0,0.0,0.0
18,39.64,1.155,150.0,4.38469,52.858263257627044,-1.0,-1.0,-1.0,-1.0,0.0,0.0
19,24.88,1.155,30.0,5.70477,53.67928770409792,-1.0,-1.0,-1.0,-1.0,0.0,0.0
20,29.48,1.155,30.0,5.75889,76.13969456203225,-1.0,-1.0,-1.0,-1.0,0.0,0.0
21,41.55,1.155,150.0,5.6735,108.9494481189419,-1.0,-1.0,-1.0,-1.0,0.0,0.0
22,31.62,1.155,150.0,5.71265,117.53740444587417,-1.0,-1.0,-1.0,-1.0,0.0,0.0
23,52.95,1.155,150.0,5.90546,144.15095955040786,-1.0,-1.0,-1.0,-1.0,0.0,0.0
24,59.82,1.155,150.0,5.21245,156.27098167903344,-1.0,-1.0,-1.0,-1.0,0.0,0.0
25,18.37,1.155,150.0,5.90669,187.60511681864088,-1.0,-1.0,-1.0,-1.0,0.0,0.0
26,35.26,1.155,30.0,5.55666,187.4819911390607,-1.0,-1.0,-1.0,-1.0,0.0,0.0
27,40.06,1.155,30.0,5.84028,189.85776015919683,-1.0,-1.0,-1.0,-1.0,0.0,0.0
28,48.55,1.155,150.0,5.41406,191.30442382602635,-1.0,-1.0,-1.0,-1.0,0.0,0.0
29,28.28,1.155,30.0,5.64335,192.3304216479832,-1.0,-1.0,-1.0,-1.0,0.0,0.0
30,33.06,1.155,150.0,5.8918,213.82868364002292,-1.0,-1.0,-1.0,-1.0,0.0,0.0
31,55.41,1.155,30.0,5.90546,226.50544955548958,-1.0,-1.0,-1.0,-1.0,0.0,0.0
32,44.27,1.155,150.0,5.53145,249.30292346369455,-1.0,-1.0,-1.0,-1.0,0.0,0.0
