,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
0,32.54,2.0,180.0,5.84426,280.8100742413779,-1.0,-1.0,-1.0,0.0,0.0
1,50.08,1.155,30.0,5.77262,230.55402132936945,-1.0,-1.0,-1.0,0.0,0.0
2,54.92,1.155,150.0,4.2934,212.54935752869292,-1.0,-1.0,-1.0,0.0,0.0
3,59.64,1.155,30.0,5.36876,197.47806459013668,-1.0,-1.0,-1.0,0.0,0.0
4,39.11,1.155,150.0,5.85341,182.59093302472974,-1.0,-1.0,-1.0,0.0,0.0
5,14.19,1.155,150.0,5.1841,161.36587459867042,-1.0,-1.0,-1.0,0.0,0.0
6,34.26,1.155,150.0,5.666,151.00723915159693,-1.0,-1.0,-1.0,0.0,0.0
7,59.72,1.155,150.0,5.3518,133.43042611654712,-1.0,-1.0,-1.0,0.0,0.0
8,44.55,1.155,30.0,5.77672,111.22236922410806,-1.0,-1.0,-1.0,0.0,0.0
9,42.67,1.155,30.0,5.9074,102.70628263844192,-1.0,-1.0,-1.0,0.0,0.0
10,36.48,1.155,30.0,5.62981,89.57821437828642,-1.0,-1.0,-1.0,0.0,0.0
11,41.14,1.155,150.0,5.69778,84.13290548380003,-1.0,-1.0,-1.0,0.0,0.0
12,48.15,1.155,30.0,5.82707,76.70117976800539,-1.0,-1.0,-1.0,0.0,0.0
13,58.63,1.155,150.0,5.81292,74.43900756495484,-1.0,-1.0,-1.0,0.0,0.0
14,15.16,1.155,30.0,4.18028,73.55636415683674,-1.0,-1.0,-1.0,0.0,0.0
15,28.87,1.155,150.0,4.26044,74.10235201215936,-1.0,-1.0,-1.0,0.0,0.0
16,22.92,1.155,150.0,3.96987,82.97874650188459,-1.0,-1.0,-1.0,0.0,0.0
17,45.72,1.155,30.0,5.52873,88.20730995436735,-1.0,-1.0,-1.0,0.0,0.0
18,43.31,1.155,30.0,5.40873,90.86380688253256,-1.0,-1.0,-1.0,0.0,0.0
19,44.56,1.155,150.0,4.85095,92.31934215664457,-1.0,-1.0,-1.0,0.0,0.0
20,10.73,1.155,150.0,5.64279,95.77879048834272,-1.0,-1.0,-1.0,0.0,0.0
21,59.75,1.155,150.0,4.40306,114.86641968412728,-1.0,-1.0,-1.0,0.0,0.0
22,34.62,1.155,30.0,3.83136,129.76684609720812,-1.0,-1.0,-1.0,0.0,0.0
23,37.73,1.155,150.0,3.39078,137.03022597640268,-1.0,-1.0,-1.0,0.0,0.0
24,50.88,1.155,150.0,4.06722,126.5644124989643,-1.0,-1.0,-1.0,0.0,0.0
25,45.9,1.155,30.0,5.62336,125.50987963994461,-1.0,-1.0,-1.0,0.0,0.0
26,12.33,1.155,150.0,5.70866,126.01454956493207,-1.0,-1.0,-1.0,0.0,0.0
