,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
193,20.3,39.85,88.6,4.57648,11.039357781781966,1.0,-1.0,0,0.13604546524355945,1,0.8
194,52.45,15.621,86.3,4.83563,6.172021580924987,1.0,-1.0,0,0.6111554004707523,1,0.9
264,34.51,15.011,177.8,5.29606,8.72826214115375,5.0,3.903660886319887,,0.8001565886868711,1,0.9
343,50.51,36.055,46.1,5.87917,14.86046066962167,5.0,-1.0,0,0.0,1,0.6
400,21.49,13.317,85.7,4.86973,3.903660886319846,1.0,-1.0,0,0.48192963877435907,1,1.0
401,21.49,26.102,54.9,5.25131,14.86046066962167,1.0,-1.0,0,0.0,1,0.7
449,43.23,16.166,171.8,5.80218,15.242175270716,1.0,-1.0,0,0.0,1,0.7
453,59.61,19.731,144.2,5.8759,3.90234375,13.0,-1.0,0,0.6723273224720457,1,1.0
454,32.97,18.0,60.0,5.8021,8.045047485969372,5.0,4.363247508680863,,0.6095799785028007,1,1.0
514,46.91,10.583,160.9,5.86353,14.86046066962167,5.0,-1.0,0,0.0,1,0.6
532,39.52,11.719,99.8,5.37176,14.073388426782916,5.0,3.956207819045943,,0.44103054975206457,1,0.8
533,59.67,18.147,52.7,5.02056,21.81623754340441,5.0,-1.0,0,0.0,1,0.4
549,14.94,24.685,166.5,5.02289,14.073388426782916,5.0,-1.0,0,0.043750363458730915,1,0.8
590,58.77,13.013,117.5,5.89806,24.838555009009426,5.0,-1.0,0,0.0,1,0.4
599,39.99,11.719,80.2,5.12349,8.726495017361765,13.0,-1.0,0,0.0,1,1.0
1052,40.15,35.553,163.0,5.90354,6.172021580924993,10.0,-1.0,0,0.6509744000926534,1,1.0
1095,21.16,27.301,156.3,5.87242,53.307428874964295,14.0,-1.0,0,0.0034978212480012575,1,0.05
1210,56.39,13.317,25.7,5.61865,45.56548920709749,14.0,0.0,3,0.1804467742656105,1,0.05
1242,43.24,27.154,32.1,5.917,55.22719220416646,14.0,7.394556154639543,2,0.1389954164405929,1,0.05
1271,22.8,15.535,104.9,4.75784,45.56548920709749,14.0,0.0,3,0.2919894221682509,1,0.05
1272,8.88,18.903,42.2,5.87627,49.67711001801885,14.0,0.0,2,0.3554292586203769,1,0.05
1298,57.1,17.474,133.4,5.9179,33.69347423402005,14.0,0.0,3,0.32843138909344716,1,0.5
1315,11.76,23.065,42.5,5.85254,15.73485331473107,9.0,-1.0,0,0.0,1,0.9
1329,41.75,10.583,160.9,5.6523,50.359587778040414,14.0,6.733114451918249,2,0.20653153442739172,1,0.05
1365,50.78,13.317,94.3,5.68264,49.67711001801885,14.0,-1.0,0,0.10755369585985013,1,0.05
1380,48.36,15.1,126.6,4.77958,34.52604573476171,14.0,0.0,2,0.2839135601928383,1,0.5
1381,48.36,17.01,160.2,5.88212,20.09014331756294,14.0,-1.0,0,0.3197107617339816,1,0.9
1399,27.46,28.0,180.0,2.37318,48.93524672395929,14.0,-1.0,0,0.32568769220000415,1,0.05
1416,56.74,24.685,46.5,5.87542,25.44264404192616,14.0,-1.0,0,0.4640268981210955,1,0.7
1447,49.94,34.699,153.3,5.87161,15.73485331473107,10.0,-1.0,0,0.0,1,1.0
1575,31.98,25.482,94.5,5.00374,9.757966921119008,9.0,-1.0,0,0.22221374433498736,1,1.0
1587,13.51,40.216,45.9,4.97022,48.93524672395929,14.0,10.725265501599898,1,0.2584240384282235,1,0.05
1591,20.65,22.301,160.3,5.82469,21.815000396426687,14.0,-1.0,0,0.41921933220381663,1,0.8
1601,50.45,25.325,69.2,5.90721,16.09009497193875,14.0,0.7331358680443256,2,0.48978239791896183,1,1.0
1659,50.28,23.065,137.5,4.23314,15.614643545279392,9.0,-1.0,0,0.0,1,0.9
1660,47.59,33.045,177.0,5.64533,15.614643545279392,9.0,-1.0,0,0.0,1,0.9
1671,28.79,27.592,19.6,5.85308,19.898385283597392,19.0,-1.0,0,0.0,1,1.0
1722,37.18,28.095,175.3,5.08852,42.03148542893221,14.0,9.501225029039185,2,0.37483649884591985,1,0.1
1723,53.17,20.298,170.2,5.87503,42.03148542893221,14.0,-1.0,0,0.3815241265853496,1,0.1
