,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
0,51.44,2.0,180.0,5.9132,421.39902571436147,-1.0,-1.0,-1.0,-1.0,0.0,0.0
1,42.02,1.155,150.0,5.04484,420.3603737567123,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2,23.05,1.155,30.0,5.83888,418.8789015474071,-1.0,-1.0,-1.0,-1.0,0.0,0.0
3,19.39,1.155,30.0,5.79627,412.5223362180992,-1.0,-1.0,-1.0,-1.0,0.0,0.0
4,53.18,1.155,30.0,5.45852,411.6910724995026,-1.0,-1.0,-1.0,-1.0,0.0,0.0
5,47.67,1.155,30.0,4.86743,407.10678458215955,-1.0,-1.0,-1.0,-1.0,0.0,0.0
6,36.04,1.155,150.0,5.87931,405.40753794672503,-1.0,-1.0,-1.0,-1.0,0.0,0.0
7,59.95,1.155,30.0,4.90945,403.8346303559338,-1.0,-1.0,-1.0,-1.0,0.0,0.0
8,49.56,1.155,30.0,4.05359,399.24024554326047,-1.0,-1.0,-1.0,-1.0,0.0,0.0
9,59.07,1.155,150.0,5.90016,397.91291327009696,-1.0,-1.0,-1.0,-1.0,0.0,0.0
10,51.38,1.155,150.0,3.35984,395.36432028669805,-1.0,-1.0,-1.0,-1.0,0.0,0.0
11,54.66,1.155,30.0,5.57758,395.2153431174814,-1.0,-1.0,-1.0,-1.0,0.0,0.0
12,33.46,1.155,150.0,5.37556,395.9481402984604,-1.0,-1.0,-1.0,-1.0,0.0,0.0
13,32.79,1.155,150.0,5.37589,349.6138166939357,-1.0,-1.0,-1.0,-1.0,0.0,0.0
14,39.05,1.155,150.0,3.05161,326.1626723464034,-1.0,-1.0,-1.0,-1.0,0.0,0.0
15,44.41,1.155,30.0,5.60395,310.04736585494226,-1.0,-1.0,-1.0,-1.0,0.0,0.0
16,55.51,1.155,30.0,5.91737,263.1848210689094,-1.0,-1.0,-1.0,-1.0,0.0,0.0
17,19.87,1.155,150.0,5.41304,232.45666740576192,-1.0,-1.0,-1.0,-1.0,0.0,0.0
18,37.36,1.155,30.0,5.7971,204.68392119216827,-1.0,-1.0,-1.0,-1.0,0.0,0.0
19,26.27,1.155,30.0,5.79902,181.32972903590027,-1.0,-1.0,-1.0,-1.0,0.0,0.0
20,31.03,1.155,30.0,5.55612,175.4948044036436,-1.0,-1.0,-1.0,-1.0,0.0,0.0
21,43.53,1.155,30.0,5.42211,158.0162552272959,-1.0,-1.0,-1.0,-1.0,0.0,0.0
22,25.56,1.155,30.0,5.7781,146.37667308198877,-1.0,-1.0,-1.0,-1.0,0.0,0.0
23,14.59,1.155,30.0,5.90399,128.9632232930375,-1.0,-1.0,-1.0,-1.0,0.0,0.0
24,50.44,1.155,150.0,4.24707,48.285034629693584,-1.0,-1.0,-1.0,-1.0,0.0,0.0
25,17.25,1.155,150.0,5.86479,40.51406467666943,-1.0,-1.0,-1.0,-1.0,0.0,0.0
26,19.92,1.155,30.0,5.42708,24.392957705336034,-1.0,-1.0,-1.0,-1.0,0.0,0.0
27,28.23,1.155,30.0,5.39319,23.41789655628369,-1.0,-1.0,-1.0,-1.0,0.0,0.0
28,47.14,1.155,150.0,5.85706,34.01031799600625,-1.0,-1.0,-1.0,-1.0,0.0,0.0
29,36.87,1.155,150.0,4.75995,49.14361263892202,-1.0,-1.0,-1.0,-1.0,0.0,0.0
30,14.52,1.155,150.0,5.49345,54.5231467153415,-1.0,-1.0,-1.0,-1.0,0.0,0.0
31,17.17,1.155,150.0,4.94273,71.13366025558764,-1.0,-1.0,-1.0,-1.0,0.0,0.0
32,47.68,1.155,150.0,5.91639,82.43351305042367,-1.0,-1.0,-1.0,-1.0,0.0,0.0
33,30.19,1.155,150.0,5.19802,93.85014026907005,-1.0,-1.0,-1.0,-1.0,0.0,0.0
34,39.53,1.155,150.0,5.68062,105.33595373579767,-1.0,-1.0,-1.0,-1.0,0.0,0.0
35,19.58,1.155,150.0,3.0698,128.45288557361238,-1.0,-1.0,-1.0,-1.0,0.0,0.0
36,46.11,1.155,30.0,5.8752,133.3927722841702,-1.0,-1.0,-1.0,-1.0,0.0,0.0
37,42.8,1.155,30.0,5.87765,138.228347502205,-1.0,-1.0,-1.0,-1.0,0.0,0.0
38,44.6,1.155,150.0,5.75028,144.41884355839008,-1.0,-1.0,-1.0,-1.0,0.0,0.0
39,30.72,1.155,150.0,5.86032,148.42755777609344,-1.0,-1.0,-1.0,-1.0,0.0,0.0
40,34.88,1.155,150.0,5.86581,154.39657628369199,-1.0,-1.0,-1.0,-1.0,0.0,0.0
41,52.5,1.155,150.0,5.85544,160.99809845541122,-1.0,-1.0,-1.0,-1.0,0.0,0.0
42,51.11,1.155,30.0,4.19608,163.62549867279915,-1.0,-1.0,-1.0,-1.0,0.0,0.0
43,51.4,1.155,30.0,5.77672,165.41570661077677,-1.0,-1.0,-1.0,-1.0,0.0,0.0
44,55.05,1.155,150.0,5.32974,168.1665880685635,-1.0,-1.0,-1.0,-1.0,0.0,0.0
45,41.14,1.155,30.0,5.88103,178.81211781675145,-1.0,-1.0,-1.0,-1.0,0.0,0.0
46,29.86,1.155,30.0,5.78972,182.09031504130877,-1.0,-1.0,-1.0,-1.0,0.0,0.0
47,27.56,1.155,150.0,5.75549,184.99346808927086,-1.0,-1.0,-1.0,-1.0,0.0,0.0
48,44.32,1.155,150.0,5.71658,190.1718765372902,-1.0,-1.0,-1.0,-1.0,0.0,0.0
49,20.02,1.155,150.0,5.76395,210.71804485754822,-1.0,-1.0,-1.0,-1.0,0.0,0.0
50,41.78,1.155,150.0,5.78949,223.61478589298906,-1.0,-1.0,-1.0,-1.0,0.0,0.0
51,46.79,4.619,90.0,5.525,419.2147157457172,-1.0,-1.0,-1.0,-1.0,0.0,0.0
52,34.77,5.292,79.1,5.64581,420.2347955955269,-1.0,-1.0,-1.0,-1.0,0.0,0.0
